	Signature A	Signature B
CATD343a	0.504031926946495	0.495968073053505
CATD336a	0.488835176263992	0.511164823736008
CATD0547a	0.498953358376372	0.501046641623628
CATD0558a	0.499808839244254	0.500191160755746
CATD337a	0.501560364871509	0.498439635128491
CATD331a	0.502025997393202	0.497974002606799
CATD0550a	0.498328521934117	0.501671478065883
CATD334a	0.499766828598808	0.500233171401192
CATD0557a	0.496215921858225	0.503784078141775
CATD0540a	0.500989918239857	0.499010081760143
CATD344a	0.497455658902238	0.502544341097762
CATD0545a	0.507903254386596	0.492096745613404
CATD0554a	0.501210425206406	0.498789574793594
CATD0541a	0.503152137814255	0.496847862185745
CATD0556a	0.498790505531465	0.501209494468535
CATD335a	0.503694946446827	0.496305053553173
CATD0546a	0.497797386723627	0.502202613276373
CATD0542a	0.502343942215911	0.497656057784089
CATD338a	0.497543591792035	0.502456408207965
CATD332a	0.500381190920416	0.499618809079584
CATD339a	0.498739437351828	0.501260562648172
CATD0555a	0.499355405459769	0.500644594540231
CATD0551a	0.498973284000844	0.501026715999156
CATD345a	0.510120945040015	0.489879054959985
