Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
ATF1		2	2	508	0.4%	Yes
RB1		18	18	508	3.5%	Yes
PRSS1		1	1	508	0.2%	Yes
ARAF		6	6	508	1.2%	Yes
PREX2		18	17	508	3.3%	Yes
CYP2D6		1	1	508	0.2%	No
AKT2		2	2	508	0.4%	Yes
MYC		2	2	508	0.4%	Yes
CREB3L1		2	2	508	0.4%	Yes
MYB		1	1	508	0.2%	Yes
AKT3		1	1	508	0.2%	Yes
AKT1		2	2	508	0.4%	Yes
PRSS8		1	1	508	0.2%	Yes
PRKACA		1	1	508	0.2%	Yes
DAXX		1	1	508	0.2%	Yes
PRKCI		7	7	508	1.4%	Yes
FRS2		1	1	508	0.2%	Yes
DICER1		9	8	508	1.6%	Yes
SOX10		3	3	508	0.6%	Yes
BCR		3	3	508	0.6%	Yes
NUP93		4	4	508	0.8%	Yes
AR		9	9	508	1.8%	Yes
EWSR1		5	5	508	1.0%	Yes
PRKAR1A		2	2	508	0.4%	Yes
PRKDC		12	12	508	2.4%	Yes
GATA6		8	8	508	1.6%	Yes
PDGFB		1	1	508	0.2%	Yes
GATA4		1	1	508	0.2%	Yes
GATA3		3	3	508	0.6%	Yes
GATA2		3	3	508	0.6%	Yes
GATA1		3	3	508	0.6%	Yes
GRIN2A		14	14	508	2.8%	Yes
TERT		59	59	508	11.6%	Yes
PLCG2		1	1	508	0.2%	Yes
NKX2-1		3	3	508	0.6%	Yes
BARD1		2	2	508	0.4%	Yes
CREBBP		10	9	508	1.8%	Yes
JUN		2	2	508	0.4%	Yes
SRMS		3	3	508	0.6%	No
BRAF		23	21	508	4.1%	Yes
FLI1		1	1	508	0.2%	Yes
COL1A1		11	11	508	2.2%	Yes
CYLD		5	5	508	1.0%	Yes
FAM135B		7	7	508	1.4%	No
FAT1		17	16	508	3.1%	Yes
REL		1	1	508	0.2%	Yes
FAT3		21	21	508	4.1%	No
CDK12		8	8	508	1.6%	Yes
FAT4		18	17	508	3.3%	Yes
EZH2		2	2	508	0.4%	Yes
RET		6	6	508	1.2%	Yes
ITK		5	5	508	1.0%	Yes
CDKN1A		1	1	508	0.2%	Yes
SETD2		6	6	508	1.2%	Yes
BTG1		1	1	508	0.2%	Yes
CDKN1B		3	3	508	0.6%	Yes
CTCF		7	7	508	1.4%	Yes
GLI1		4	4	508	0.8%	Yes
GLI3		14	14	508	2.8%	No
GLI2		16	16	508	3.1%	No
MED12		8	8	508	1.6%	Yes
JAK2		12	11	508	2.2%	Yes
CIC		11	11	508	2.2%	Yes
JAK3		7	7	508	1.4%	Yes
IKBKE		5	5	508	1.0%	Yes
JAK1		8	6	508	1.2%	Yes
SS18		6	6	508	1.2%	Yes
TET2		6	6	508	1.2%	Yes
TET1		6	6	508	1.2%	Yes
FOS		5	5	508	1.0%	No
PAX5		3	3	508	0.6%	Yes
NCOR1		9	8	508	1.6%	Yes
DPYD		7	7	508	1.4%	Yes
TET3		7	7	508	1.4%	Yes
RARA		1	1	508	0.2%	Yes
FH		2	2	508	0.4%	Yes
EGFR		8	8	508	1.6%	Yes
ADAM29		4	4	508	0.8%	No
NRAS		11	11	508	2.2%	Yes
EPCAM		2	2	508	0.4%	Yes
NSD1		9	8	508	1.6%	Yes
NSD2		3	2	508	0.4%	Yes
STAT4		4	4	508	0.8%	Yes
SPOP		1	1	508	0.2%	Yes
PMS2		2	2	508	0.4%	Yes
RICTOR		5	5	508	1.0%	Yes
SF3B1		21	20	508	3.9%	Yes
RUNX1T1		7	7	508	1.4%	Yes
BRD4		2	2	508	0.4%	Yes
CDKN2B		1	1	508	0.2%	Yes
CDKN2C		3	3	508	0.6%	Yes
GABRA6		4	4	508	0.8%	Yes
CDKN2A		36	35	508	6.9%	Yes
MGMT		2	2	508	0.4%	No
STAT3		3	3	508	0.6%	Yes
SNCAIP		5	5	508	1.0%	Yes
WT1		1	1	508	0.2%	Yes
APEX1		2	2	508	0.4%	No
ZNF217		1	1	508	0.2%	Yes
MRE11		4	4	508	0.8%	Yes
IRS2		6	6	508	1.2%	Yes
FGF3		2	2	508	0.4%	Yes
FGF4		1	1	508	0.2%	Yes
FGF6		3	3	508	0.6%	Yes
FGF7		1	1	508	0.2%	Yes
STK11		24	23	508	4.5%	Yes
CDH1		7	6	508	1.2%	Yes
NBN		2	2	508	0.4%	Yes
ROS1		11	10	508	2.0%	Yes
MEN1		1	1	508	0.2%	Yes
SSX1		2	2	508	0.4%	Yes
MAP2K4		9	8	508	1.6%	Yes
RNF43		27	23	508	4.5%	Yes
MAP2K1		8	8	508	1.6%	Yes
MAP2K2		2	2	508	0.4%	Yes
FBXW7		15	15	508	3.0%	Yes
MAGI2		8	8	508	1.6%	Yes
EMSY		2	2	508	0.4%	Yes
FOXP1		5	5	508	1.0%	Yes
MSH6		4	4	508	0.8%	Yes
MSH2		6	6	508	1.2%	Yes
SMO		2	2	508	0.4%	Yes
KAT6A		8	8	508	1.6%	Yes
ERG		4	4	508	0.8%	Yes
BLK		2	2	508	0.4%	No
NOTCH2		8	7	508	1.4%	Yes
CSF1R		1	1	508	0.2%	Yes
NOTCH3		10	9	508	1.8%	Yes
KMT2D		46	37	508	7.3%	Yes
BLM		4	4	508	0.8%	Yes
NOTCH1		7	7	508	1.4%	Yes
CBFB		2	2	508	0.4%	Yes
KMT2A		13	13	508	2.6%	Yes
NOTCH4		9	9	508	1.8%	Yes
CUL3		2	2	508	0.4%	Yes
KMT2C		41	34	508	6.7%	Yes
FOXO1		1	1	508	0.2%	Yes
BCL2L11		2	2	508	0.4%	Yes
ABL1		4	4	508	0.8%	Yes
ABL2		7	7	508	1.4%	Yes
TNFRSF14		4	4	508	0.8%	Yes
MCL1		1	1	508	0.2%	Yes
FANCM		13	12	508	2.4%	Yes
FUS		2	2	508	0.4%	Yes
FANCL		1	1	508	0.2%	Yes
TNK2		7	7	508	1.4%	No
FANCA		7	7	508	1.4%	Yes
FANCC		1	1	508	0.2%	Yes
BMX		1	1	508	0.2%	No
FANCE		2	2	508	0.4%	Yes
PALB2		2	2	508	0.4%	Yes
FANCG		2	2	508	0.4%	Yes
QKI		2	2	508	0.4%	Yes
FANCF		3	3	508	0.6%	Yes
CDK8		3	3	508	0.6%	Yes
CDK6		2	2	508	0.4%	Yes
BCL6		1	1	508	0.2%	Yes
STK24		1	1	508	0.2%	No
BCL2		1	1	508	0.2%	Yes
MDM2		3	3	508	0.6%	Yes
NF1		35	27	508	5.3%	Yes
MDM4		3	3	508	0.6%	Yes
NF2		5	5	508	1.0%	Yes
LZTR1		8	8	508	1.6%	Yes
MAP3K13		6	6	508	1.2%	Yes
MYD88		1	1	508	0.2%	Yes
BCL2L1		1	1	508	0.2%	Yes
NFE2L2		5	5	508	1.0%	Yes
ALK		9	9	508	1.8%	Yes
FLT1		9	9	508	1.8%	Yes
FLT3		8	8	508	1.6%	Yes
FLT4		5	5	508	1.0%	Yes
PTEN		16	16	508	3.1%	Yes
PIK3CD		3	3	508	0.6%	Yes
PIK3CB		4	4	508	0.8%	Yes
PIK3CG		6	6	508	1.2%	Yes
PIK3C2B		8	8	508	1.6%	Yes
HSP90AA1		3	3	508	0.6%	Yes
ATRX		10	10	508	2.0%	Yes
DNMT3A		9	9	508	1.8%	Yes
FOXL2		2	2	508	0.4%	Yes
NRG1		7	7	508	1.4%	Yes
PIK3CA		42	41	508	8.1%	Yes
NRG3		6	5	508	1.0%	No
TOP1		1	1	508	0.2%	Yes
MET		4	3	508	0.6%	Yes
ZNF750		3	3	508	0.6%	Yes
CEBPA		1	1	508	0.2%	Yes
SMARCD1		5	4	508	0.8%	Yes
LRP1		18	17	508	3.3%	No
ROCK1		5	5	508	1.0%	No
