Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
ATF1		12	12	1220	1.0%	Yes
RB1		65	44	1220	3.6%	Yes
PRSS1		35	33	1220	2.7%	Yes
ARAF		24	21	1220	1.7%	Yes
PREX2		145	91	1220	7.5%	Yes
CYP2D6		33	29	1220	2.4%	No
AKT2		16	14	1220	1.1%	Yes
MYC		13	13	1220	1.1%	Yes
CREB3L1		21	20	1220	1.6%	Yes
MYB		14	12	1220	1.0%	Yes
AKT3		29	20	1220	1.6%	Yes
CREB3L2		18	16	1220	1.3%	Yes
AKT1		35	34	1220	2.8%	Yes
PRSS8		16	15	1220	1.2%	Yes
PRKACA		17	15	1220	1.2%	Yes
DAXX		25	22	1220	1.8%	Yes
PRKCI		30	27	1220	2.2%	Yes
MEF2B		2	2	1220	0.2%	Yes
FRS2		16	15	1220	1.2%	Yes
DICER1		93	68	1220	5.6%	Yes
SOX10		17	14	1220	1.1%	Yes
BCR		58	48	1220	3.9%	Yes
NUP93		40	39	1220	3.2%	Yes
AR		58	52	1220	4.3%	Yes
EWSR1		27	22	1220	1.8%	Yes
PRKAR1A		25	23	1220	1.9%	Yes
PRKDC		168	98	1220	8.0%	Yes
GATA6		29	25	1220	2.0%	Yes
PDGFB		15	15	1220	1.2%	Yes
GATA4		39	36	1220	3.0%	Yes
GATA3		32	31	1220	2.5%	Yes
GATA2		22	21	1220	1.7%	Yes
GATA1		22	20	1220	1.6%	Yes
GRIN2A		113	79	1220	6.5%	Yes
TERT		71	63	1220	5.2%	Yes
PLCG2		86	65	1220	5.3%	Yes
NKX2-1		24	23	1220	1.9%	Yes
BARD1		43	41	1220	3.4%	Yes
LYN		30	26	1220	2.1%	Yes
CREBBP		145	97	1220	8.0%	Yes
JUN		19	18	1220	1.5%	Yes
SRMS		13	12	1220	1.0%	No
TIPARP		23	21	1220	1.7%	Yes
BRAF		97	91	1220	7.5%	Yes
FLI1		34	34	1220	2.8%	Yes
COL1A1		72	62	1220	5.1%	Yes
CYLD		41	33	1220	2.7%	Yes
FAM135B		107	75	1220	6.1%	No
FAT1		206	114	1220	9.3%	Yes
REL		23	18	1220	1.5%	Yes
FAT3		319	183	1220	15.0%	No
CDK12		45	35	1220	2.9%	Yes
FAT4		411	214	1220	17.5%	Yes
EZH2		43	32	1220	2.6%	Yes
RET		67	63	1220	5.2%	Yes
ITK		31	25	1220	2.0%	Yes
CDKN1A		8	8	1220	0.7%	Yes
SETD2		115	75	1220	6.1%	Yes
BTG1		4	4	1220	0.3%	Yes
CDKN1B		16	16	1220	1.3%	Yes
CTCF		48	40	1220	3.3%	Yes
GLI1		60	49	1220	4.0%	Yes
GLI3		158	116	1220	9.5%	No
GLI2		110	92	1220	7.5%	No
MED12		73	61	1220	5.0%	Yes
JAK2		49	36	1220	3.0%	Yes
CIC		113	83	1220	6.8%	Yes
JAK3		58	47	1220	3.9%	Yes
IKBKE		27	25	1220	2.0%	Yes
JAK1		69	52	1220	4.3%	Yes
SS18		11	11	1220	0.9%	Yes
TET2		65	52	1220	4.3%	Yes
TET1		96	52	1220	4.3%	Yes
FOS		11	11	1220	0.9%	No
PAX5		38	36	1220	3.0%	Yes
NCOR1		108	73	1220	6.0%	Yes
DPYD		64	50	1220	4.1%	Yes
TET3		62	57	1220	4.7%	Yes
RARA		25	23	1220	1.9%	Yes
FH		20	19	1220	1.6%	Yes
EGFR		55	45	1220	3.7%	Yes
ADAM29		59	46	1220	3.8%	No
NRAS		41	41	1220	3.4%	Yes
EPCAM		9	9	1220	0.7%	Yes
NSD1		75	52	1220	4.3%	Yes
NSD2		56	47	1220	3.9%	Yes
STAT4		36	32	1220	2.6%	Yes
SPOP		12	11	1220	0.9%	Yes
PMS2		31	25	1220	2.0%	Yes
RICTOR		82	62	1220	5.1%	Yes
SF3B1		56	41	1220	3.4%	Yes
RUNX1T1		60	47	1220	3.9%	Yes
BRD4		61	45	1220	3.7%	Yes
CDKN2B		9	9	1220	0.7%	Yes
CDKN2C		4	4	1220	0.3%	Yes
GABRA6		37	31	1220	2.5%	Yes
CRBN		18	18	1220	1.5%	Yes
CDKN2A		17	17	1220	1.4%	Yes
CSNK1A1		18	16	1220	1.3%	No
MGMT		8	8	1220	0.7%	No
STAT3		29	26	1220	2.1%	Yes
SNCAIP		39	34	1220	2.8%	Yes
GID4		10	10	1220	0.8%	Yes
NFIB		29	25	1220	2.0%	Yes
WT1		26	25	1220	2.0%	Yes
APEX1		12	11	1220	0.9%	No
ZNF217		60	45	1220	3.7%	Yes
MRE11		52	49	1220	4.0%	Yes
CSF1		25	20	1220	1.6%	Yes
TPMT		3	3	1220	0.2%	No
IRS2		72	58	1220	4.8%	Yes
FGF3		21	21	1220	1.7%	Yes
FGF4		13	13	1220	1.1%	Yes
FGF6		16	16	1220	1.3%	Yes
FGF7		22	18	1220	1.5%	Yes
STK11		23	21	1220	1.7%	Yes
CDH1		44	35	1220	2.9%	Yes
NBN		47	44	1220	3.6%	Yes
