sample	object	object_index
CATD0572b	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0572b/CATD0572b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0572b/CATD0572b.sample.dupmarked.bam.bai
CATD0573b	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0573b/CATD0573b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0573b/CATD0573b.sample.dupmarked.bam.bai
CATD0574b	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0574b/CATD0574b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0574b/CATD0574b.sample.dupmarked.bam.bai
CATD0575b	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0575b/CATD0575b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0575b/CATD0575b.sample.dupmarked.bam.bai
CATD0576b	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0576b/CATD0576b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0576b/CATD0576b.sample.dupmarked.bam.bai
CATD0577b	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0577b/CATD0577b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0577b/CATD0577b.sample.dupmarked.bam.bai
CATD0578b	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0578b/CATD0578b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0578b/CATD0578b.sample.dupmarked.bam.bai
CATD0580b	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0580b/CATD0580b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0580b/CATD0580b.sample.dupmarked.bam.bai
CATD0581b	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0581b/CATD0581b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0581b/CATD0581b.sample.dupmarked.bam.bai
CATD0582b	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0582b/CATD0582b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0582b/CATD0582b.sample.dupmarked.bam.bai
CATD0583b	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0583b/CATD0583b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0583b/CATD0583b.sample.dupmarked.bam.bai
CATD0584b	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0584b/CATD0584b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0584b/CATD0584b.sample.dupmarked.bam.bai
CATD0585b	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0585b/CATD0585b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0585b/CATD0585b.sample.dupmarked.bam.bai
CATD0586b	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0586b/CATD0586b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0586b/CATD0586b.sample.dupmarked.bam.bai
CATD0587b	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0587b/CATD0587b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0587b/CATD0587b.sample.dupmarked.bam.bai
CATD0588b	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0588b/CATD0588b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0588b/CATD0588b.sample.dupmarked.bam.bai
CATD0589b	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0589b/CATD0589b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0589b/CATD0589b.sample.dupmarked.bam.bai
CATD0590b	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0590b/CATD0590b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0590b/CATD0590b.sample.dupmarked.bam.bai
CATD0591b	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0591b/CATD0591b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0591b/CATD0591b.sample.dupmarked.bam.bai
CATD0592b	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0592b/CATD0592b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3135/CATD0592b/CATD0592b.sample.dupmarked.bam.bai
