	Signature A	Signature B
CATD231a	0.501743558723731	0.498256441276269
CATD0716a	0.500987860820162	0.499012139179838
CATD217a	0.501194458281767	0.498805541718233
CATD227a	0.500675668314104	0.499324331685896
CATD0710a	0.503267106785999	0.496732893214001
CATD0717a	0.498796540130595	0.501203459869405
CATD242a	0.499499475917595	0.500500524082405
CATD0709a	0.499032898832181	0.500967101167819
CATD239a	0.499869016498206	0.500130983501794
CATD216a	0.500428210084679	0.499571789915321
CATD232a	0.500990061951947	0.499009938048053
CATD229a	0.502050023998415	0.497949976001585
CATD0712a	0.50287595863713	0.49712404136287
CATD226a	0.500372381939466	0.499627618060534
CATD0715a	0.501126829028604	0.498873170971396
CATD224a	0.496279766442231	0.503720233557769
CATD0561e	0.499624742143115	0.500375257856885
