	Signature A	Signature B	Signature C	Signature D
CATD0393a	0.204107593292402	0.265046272480318	0.307385685539735	0.223460448687545
CATD0657a	0.24905606014681	0.251294294967274	0.250164224136534	0.249485420749382
CATD0388a	0.249686401111188	0.250174413991096	0.248143879020749	0.251995305876968
CATD0395a	0.24126510958092	0.254127748751902	0.258147247432712	0.246459894234466
CATD0434a	0.251189634812234	0.24961002021091	0.248938557484657	0.250261787492198
CATD0666a	0.250023897643853	0.249534715730887	0.250271964440565	0.250169422184695
CATD0391a	0.24970762872021	0.251078325075007	0.250180090786397	0.249033955418385
CATD0387a	0.246483346329455	0.250686890875772	0.254977376946837	0.247852385847936
CATD0381a	0.253485490112118	0.247445845767786	0.246725730378999	0.252342933741096
CATD0390a	0.2518736976252	0.251076141715044	0.248853665716868	0.248196494942888
CATD0423a	0.251522269973372	0.249817714549862	0.248831454019469	0.249828561457298
CATD0398a	0.248175568834806	0.252071698426021	0.252522238280313	0.247230494458859
CATD0428a	0.250613802576064	0.250174074729793	0.250399002768419	0.248813119925724
CATD0378a	0.251221595119759	0.250988297608368	0.249384024500081	0.248406082771792
CATD0380a	0.250569912301953	0.249079816677016	0.250287678805476	0.250062592215555
CATD0662a	0.251865647304734	0.250871727827576	0.248151994386973	0.249110630480717
CATD0399a	0.250421367086305	0.250209991892515	0.24876516463457	0.250603476386609
CATD0659a	0.250984730295277	0.250566584962348	0.250006301089052	0.248442383653322
CATD0389a	0.251258188027152	0.250243225747544	0.247180453622488	0.251318132602816
CATD0658a	0.247807455652529	0.250852794801563	0.252688162977082	0.248651586568826
CATD0665a	0.247823730057767	0.250024730374586	0.249118441348844	0.253033098218804
CATD0377a	0.249706146406775	0.250554138593681	0.25047955000816	0.249260164991384
CATD0422a	0.251356160129146	0.249016131225058	0.250503949118098	0.249123759527698
CATD0392a	0.250388209714539	0.248754860443451	0.250047144976971	0.250809784865039
CATD0661a	0.250923639748895	0.251618632450134	0.247435277561207	0.250022450239763
CATD0424a	0.248663993883164	0.251465883413045	0.249784997013721	0.25008512569007
CATD0426a	0.249171770145078	0.250730163574144	0.24891373517548	0.251184331105298
CATD0383a	0.250436383625503	0.249490063785371	0.248689345344061	0.251384207245065
CATD0385a	0.248946867745311	0.250834101702673	0.250560900220621	0.249658130331396
CATD0382a	0.252844105204141	0.250012073783529	0.248822810039703	0.248321010972628
CATD0660a	0.247167605995073	0.250673357595425	0.251442257062597	0.250716779346905
CATD0437a	0.248618272122866	0.251233306579682	0.250916812994874	0.249231608302579
CATD0439a	0.250830773593263	0.249692472344782	0.249840642925548	0.249636111136406
CATD0663a	0.250205703380131	0.248961965999424	0.249419508452192	0.251412822168252
CATD0379a	0.250177707065032	0.250485771624988	0.249321367162392	0.250015154147589
CATD0397a	0.248753805542696	0.252773936299687	0.248284468112395	0.250187790045222
