	Signature A	Signature B	Signature C
CATD0161a	0.334337958526146	0.332563361726713	0.333098679747141
CATD0371a	0.334737928629313	0.333415318756069	0.331846752614618
CATD0354a	0.333856420770705	0.332685912719656	0.333457666509639
CATD0372a	0.328831427220627	0.333089347002949	0.338079225776424
CATD0352a	0.331743614284062	0.334673251026819	0.333583134689119
CATD0366a	0.334187343145148	0.331822159208577	0.333990497646275
CATD0180a	0.33311344582713	0.332469338224282	0.334417215948588
CATD0375a	0.329072151783236	0.338340655914195	0.332587192302569
CATD0351a	0.331742363621574	0.333014065877438	0.335243570500988
CATD0182a	0.330991803776493	0.330502559075644	0.338505637147863
CATD0184a	0.335254079469856	0.328987187552499	0.335758732977646
CATD0179a	0.335024663120852	0.33255824259814	0.332417094281009
CATD0370a	0.334544273191592	0.334256003888322	0.331199722920086
CATD0167a	0.332302728873751	0.335252814752483	0.332444456373766
CATD0174a	0.329735323386286	0.336028553151257	0.334236123462457
CATD0175a	0.332222385242657	0.334548855741257	0.333228759016086
CATD0181a	0.332711776449786	0.333898238001972	0.333389985548243
CATD0355a	0.332789808788294	0.335689653458268	0.331520537753438
CATD0362a	0.33326509846082	0.333136530900131	0.333598370639049
CATD0363a	0.332529936437591	0.332110157997236	0.335359905565172
CATD0365a	0.333092047149083	0.334499672740616	0.332408280110301
CATD0177a	0.334021780633148	0.333454195937636	0.332524023429216
CATD0376a	0.333282855252721	0.332307208201115	0.334409936546165
CATD0367a	0.334557317588872	0.330493355642191	0.334949326768938
CATD0364a	0.330553999428164	0.3346292142709	0.334816786300935
CATD0671a	0.334731170234956	0.331845933651955	0.333422896113089
CATD0163a	0.334062848028575	0.335900966638731	0.330036185332694
CATD0368a	0.329973260554585	0.334192422342474	0.335834317102941
