Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
RB1		70	68	1357	5.0%	Yes
MDC1		35	29	1357	2.1%	Yes
ARAF		21	20	1357	1.5%	Yes
SOX17		17	17	1357	1.3%	Yes
AKT2		11	10	1357	0.7%	Yes
MYC		10	10	1357	0.7%	Yes
AKT3		20	20	1357	1.5%	Yes
AKT1		11	11	1357	0.8%	Yes
DAXX		9	8	1357	0.6%	Yes
MEF2B		4	4	1357	0.3%	Yes
DICER1		31	29	1357	2.1%	Yes
NUP93		15	15	1044	1.4%	Yes
AR		51	48	1357	3.5%	Yes
PRKAR1A		4	4	1357	0.3%	Yes
GATA3		23	22	1357	1.6%	Yes
BCL10		2	2	1044	0.2%	Yes
GATA2		14	14	1357	1.0%	Yes
GATA1		17	15	1357	1.1%	Yes
GRIN2A		65	62	1357	4.6%	Yes
TERT		48	47	1357	3.5%	Yes
RAD21		6	6	1044	0.6%	Yes
PLCG2		19	17	1044	1.6%	Yes
NKX2-1		28	25	1357	1.8%	Yes
BARD1		22	22	1357	1.6%	Yes
CREBBP		56	54	1357	4.0%	Yes
JUN		7	7	1357	0.5%	Yes
PLK2		16	14	1357	1.0%	Yes
BRAF		80	79	1357	5.8%	Yes
H1-2		9	9	1357	0.7%	Yes
FAT1		113	103	1357	7.6%	Yes
REL		10	9	1357	0.7%	Yes
CDK12		13	13	1357	1.0%	Yes
EZH2		10	9	1357	0.7%	Yes
RET		38	34	1357	2.5%	Yes
CDKN1A		7	7	1357	0.5%	Yes
SETD2		94	79	1357	5.8%	Yes
CDKN1B		6	6	1357	0.4%	Yes
CTCF		14	14	1357	1.0%	Yes
GLI1		35	31	1044	3.0%	Yes
BBC3		2	2	1357	0.1%	Yes
MED12		60	57	1357	4.2%	Yes
CTLA4		9	9	1357	0.7%	Yes
JAK2		33	32	1357	2.4%	Yes
CIC		36	33	1357	2.4%	Yes
JAK3		34	34	1357	2.5%	Yes
IKBKE		8	8	1357	0.6%	Yes
JAK1		18	17	1357	1.3%	Yes
IFNGR1		5	5	1357	0.4%	Yes
TET2		23	21	1357	1.5%	Yes
TET1		47	45	1357	3.3%	Yes
PAX5		11	10	1357	0.7%	Yes
NCOR1		37	35	1357	2.6%	Yes
SDHAF2		5	5	1357	0.4%	Yes
RARA		8	8	1357	0.6%	Yes
FH		10	10	1357	0.7%	Yes
GPS2		8	7	1044	0.7%	Yes
CENPA		4	4	1044	0.4%	Yes
EGFR		497	388	1357	28.6%	Yes
RECQL4		24	24	1357	1.8%	Yes
