	Signature A	Signature B
CATD269a	0.0996151054502361	0.900384894549764
CATD256a	0.0742782335211245	0.925721766478875
CATD251a	0.0499470743025922	0.950052925697408
CATD0132a	0.021217241107644	0.978782758892356
CATD0119a	0.0319707471652442	0.968029252834756
CATD262a	0.0873566281024343	0.912643371897566
CATD248a	0.0115547236978862	0.988445276302114
CATD0122a	0.0649642197091219	0.935035780290878
CATD252a	0.0433875596289435	0.956612440371057
CATD268a	0.00703816315321367	0.992961836846786
CATD187a	0.065890971191476	0.934109028808524
CATD245a	0.0363376145001563	0.963662385499844
CATD0123a	0.01629316775211	0.98370683224789
CATD255a	0.0659823392295945	0.934017660770405
CATD244a	0.0578726952973218	0.942127304702678
CATD0120a	0.0161564923095398	0.98384350769046
CATD247a	0.0227986196415923	0.977201380358408
CATD260a	0.114638791768124	0.885361208231876
CATD246a	0.0705006767603318	0.929499323239668
CATD279a	0.904883260456613	0.0951167395433871
CATD261a	0.140280806598794	0.859719193401206
CATD280a	0.0451803662908222	0.954819633709178
CATD272a	0.0805893580038234	0.919410641996177
CATD275a	0.46383341860074	0.53616658139926
CATD276a	0.0965068091678154	0.903493190832185
CATD0128a	0.0639759409837449	0.936024059016255
CATD273a	0.055998429668502	0.944001570331498
CATD253a	0.0952415656079266	0.904758434392073
CATD267a	0.537976049676258	0.462023950323742
CATD186a	0.94952487457066	0.0504751254293402
CATD0632c	0.0497828307489483	0.950217169251052
CATD0126a	0.176506029894639	0.823493970105361
CATD274a	0.0269752177192332	0.973024782280767
CATD278a	0.0148888762409629	0.985111123759037
CATD243a	0.0128993282488691	0.987100671751131
CATD265a	0.0186528059621446	0.981347194037855
CATD264a	0.0245953754245864	0.975404624575414
CATD0135a	0.0226835457907762	0.977316454209224
CATD282a	0.0864567587399645	0.913543241260035
CATD250a	0.0141360741909492	0.985863925809051
CATD263a	0.101437178983984	0.898562821016016
CATD254a	0.143933423893755	0.856066576106245
CATD0124a	0.718414525859222	0.281585474140778
CATD0129a	0.738696168833044	0.261303831166955
CATD0130a	0.706313656456175	0.293686343543825
CATD0140a	0.731043769392701	0.268956230607299
CATD0131a	0.438058381717331	0.561941618282669
CATD0125a	0.324766011811238	0.675233988188762
CATD0134a	0.490877525519518	0.509122474480482
CATD258a	0.756700258967927	0.243299741032073
CATD257a	0.732482967438923	0.267517032561077
CATD0139a	0.832797372623162	0.167202627376838
CATD0137a	0.861891110371592	0.138108889628408
CATD249a	0.147352016449426	0.852647983550574
CATD271a	0.800768694805764	0.199231305194236
CATD259a	0.543292407539947	0.456707592460053
CATD0127a	0.704643706122453	0.295356293877547
CATD277a	0.553805099066839	0.446194900933161
CATD281a	0.741509111513446	0.258490888486554
CATD0133a	0.344035457584231	0.655964542415769
