	Signature A	Signature B
CATD0511a	0.497018785492561	0.502981214507439
CATD0518a	0.503665644128328	0.496334355871672
CATD0524a	0.50200648921875	0.49799351078125
CATD0515a	0.496123145468624	0.503876854531376
CATD196a	0.503706917417569	0.496293082582431
CATD205a	0.497507223883272	0.502492776116728
CATD193a	0.498308367677345	0.501691632322655
CATD192a	0.49949581118135	0.50050418881865
CATD0519a	0.503031939940752	0.496968060059248
CATD0520a	0.500575298904664	0.499424701095336
CATD0517a	0.491889852910679	0.508110147089321
CATD210a	0.500228043995412	0.499771956004588
CATD212a	0.501740732084661	0.498259267915339
CATD209a	0.497593443744187	0.502406556255813
CATD206a	0.499606494096329	0.500393505903671
CATD0513a	0.49849677935608	0.50150322064392
CATD0509a	0.501626005789515	0.498373994210485
CATD203a	0.499594817249191	0.500405182750809
CATD0533a	0.498700602104674	0.501299397895326
CATD0534a	0.498201628168055	0.501798371831945
CATD199a	0.50012141582547	0.49987858417453
CATD207a	0.499674838716041	0.500325161283959
CATD197a	0.500672853781304	0.499327146218696
CATD0512a	0.501016555501499	0.498983444498501
CATD200a	0.505137627197708	0.494862372802292
