	Signature A	Signature B	Signature C
CATD0511a	0.330971331845748	0.334376622835875	0.334652045318377
CATD0518a	0.335175544640703	0.334544205548541	0.330280249810755
CATD0524a	0.33314636321975	0.333940894647902	0.332912742132348
CATD0515a	0.336098536402949	0.327787725721832	0.336113737875219
CATD196a	0.333166385116524	0.332945276884675	0.333888337998801
CATD205a	0.329029538351237	0.335778894372522	0.335191567276241
CATD193a	0.333723206300247	0.331759661751282	0.334517131948471
CATD192a	0.336054427001102	0.333516228320973	0.330429344677925
CATD0519a	0.334501495112923	0.332407921931867	0.33309058295521
CATD0520a	0.332281479487905	0.334332923675291	0.333385596836804
CATD0517a	0.337168132894537	0.332381485297192	0.330450381808271
CATD210a	0.333697933536761	0.333806157050333	0.332495909412906
CATD212a	0.330941549298694	0.333916813586873	0.335141637114433
CATD209a	0.333559709739505	0.334984965948832	0.331455324311663
CATD206a	0.332090641295826	0.329785299422381	0.338124059281793
CATD0513a	0.334345276564428	0.332487848678641	0.33316687475693
CATD0509a	0.333929705628332	0.332856096793473	0.333214197578195
CATD203a	0.332000097439014	0.333760173665489	0.334239728895498
CATD0533a	0.331514765871801	0.333462372467418	0.335022861660782
CATD0534a	0.335786900066661	0.331604952205338	0.332608147728001
CATD199a	0.33343786021794	0.332619377279421	0.333942762502639
CATD207a	0.333655464781272	0.333831040265825	0.332513494952904
CATD197a	0.333614810442959	0.335121067795483	0.331264121761559
CATD0512a	0.332614477610288	0.333377733673455	0.334007788716257
CATD200a	0.332834007235507	0.332446097312575	0.334719895451918
