Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
EIF4A2		1	1	74	1.4%	Yes
RB1		2	2	74	2.7%	Yes
MDC1		2	1	74	1.4%	Yes
ARAF		1	1	74	1.4%	Yes
IKZF1		1	1	74	1.4%	Yes
RPS6KA4		1	1	74	1.4%	Yes
SOX17		1	1	74	1.4%	Yes
MYC		23	11	74	14.9%	Yes
CHEK1		2	2	74	2.7%	Yes
KDR		1	1	74	1.4%	Yes
B2M		14	12	74	16.2%	Yes
ACVR1		1	1	74	1.4%	Yes
EPHA5		4	4	74	5.4%	Yes
EPHA7		1	1	74	1.4%	Yes
MEF2B		9	8	74	10.8%	Yes
HLA-A		13	9	74	12.2%	Yes
HNF1A		1	1	74	1.4%	Yes
AR		1	1	74	1.4%	Yes
BTK		7	7	74	9.5%	Yes
TP53		29	22	74	29.7%	Yes
EPHA3		4	3	74	4.1%	Yes
MST1R		1	1	74	1.4%	Yes
PIK3R1		3	3	74	4.1%	Yes
BCL10		3	3	74	4.1%	Yes
GATA1		1	1	74	1.4%	Yes
CD79B		15	12	74	16.2%	Yes
CD79A		5	4	74	5.4%	Yes
GRIN2A		4	4	74	5.4%	Yes
BRIP1		1	1	74	1.4%	Yes
TERT		1	1	74	1.4%	Yes
PLCG2		2	2	74	2.7%	Yes
NKX2-1		1	1	74	1.4%	Yes
H3C3		1	1	74	1.4%	Yes
H3C2		3	3	74	4.1%	Yes
H3C7		3	3	74	4.1%	Yes
H3C6		1	1	74	1.4%	Yes
STAT5A		1	1	74	1.4%	Yes
ZRSR2		1	1	74	1.4%	Yes
CREBBP		27	23	74	31.1%	Yes
JUN		1	1	74	1.4%	Yes
YES1		1	1	74	1.4%	Yes
INSR		3	3	74	4.1%	Yes
BRAF		2	2	74	2.7%	Yes
H1-2		14	9	74	12.2%	Yes
SMARCA4		3	3	74	4.1%	Yes
STAG2		1	1	74	1.4%	Yes
FUBP1		2	2	74	2.7%	Yes
FAT1		4	4	74	5.4%	Yes
ID3		1	1	74	1.4%	Yes
ATM		1	1	74	1.4%	Yes
ATR		1	1	74	1.4%	Yes
EZH2		9	8	74	10.8%	Yes
RET		1	1	74	1.4%	Yes
PTPRT		1	1	74	1.4%	Yes
CDKN1A		1	1	74	1.4%	Yes
SETD2		1	1	74	1.4%	Yes
CDKN1B		2	2	74	2.7%	Yes
PTPRS		3	3	74	4.1%	Yes
BRCA1		2	2	74	2.7%	Yes
BRCA2		1	1	74	1.4%	Yes
MED12		5	4	74	5.4%	Yes
RPTOR		3	3	74	4.1%	Yes
XPO1		3	3	74	4.1%	Yes
SUFU		1	1	74	1.4%	Yes
ELOC		1	1	74	1.4%	Yes
CIC		1	1	74	1.4%	Yes
