	Signature A	Signature B	Signature C
CATD0414a	0.334008828627778	0.332003847684334	0.333987323687888
CATD0105a	0.33511706900135	0.33211683523071	0.33276609576794
CATD189a	0.334063997223241	0.332138933357548	0.333797069419211
CATD0090a	0.331032458750458	0.337083542033255	0.331883999216287
CATD0088a	0.33049785019056	0.335458979161627	0.334043170647812
CATD0102a	0.340443196443673	0.3303775850641	0.329179218492227
CATD0400a	0.332848553463924	0.336879946849536	0.33027149968654
CATD0095a	0.334338581480615	0.333910878370242	0.331750540149144
CATD0087a	0.33468192601309	0.332101226902207	0.333216847084703
CATD0410a	0.335223291727414	0.334275321628349	0.330501386644237
CATD0101a	0.334573845033353	0.333831162833746	0.331594992132901
CATD0100a	0.32957032906711	0.336770025341749	0.33365964559114
CATD0118a	0.317611482860968	0.347046791127735	0.335341726011297
CATD0108a	0.331195811544155	0.334409399830936	0.334394788624909
CATD0082a	0.332996936795702	0.337971531882588	0.32903153132171
CATD0106a	0.331381264317663	0.338125296721687	0.33049343896065
CATD0107a	0.331584722343837	0.33499519615897	0.333420081497193
CATD0097a	0.333135017839444	0.330831650870178	0.336033331290378
CATD0112a	0.334204686963561	0.333664786474183	0.332130526562256
CATD0412a	0.334285986296251	0.333883320490104	0.331830693213645
CATD0110a	0.336270131687726	0.329134379805344	0.33459548850693
CATD0117a	0.331855215472697	0.334443544904814	0.333701239622489
CATD0084a	0.330384049649097	0.333185256436227	0.336430693914676
CATD0081a	0.336594750435084	0.331144279346107	0.33226097021881
CATD0092a	0.333431511396236	0.332200971165437	0.334367517438327
CATD0111a	0.333916535551406	0.332666117280161	0.333417347168433
CATD0114a	0.331384880982797	0.331492008960227	0.337123110056975
CATD0103a	0.335457595010165	0.320380889541386	0.344161515448449
CATD0099a	0.335287141058794	0.329260361496364	0.335452497444842
CATD0091a	0.329594484354207	0.337446821366395	0.332958694279399
CATD0086a	0.334034877704666	0.331133035433228	0.334832086862106
CATD0405a	0.334786186906848	0.327553041683653	0.337660771409499
CATD188a	0.3347308211998	0.33421969419331	0.33104948460689
CATD0401a	0.330664711488932	0.330828225731405	0.338507062779663
CATD0096a	0.334107342992617	0.332646540157616	0.333246116849767
CATD0411a	0.328881956672659	0.3370417640532	0.334076279274141
CATD0113a	0.333359985056851	0.332706274077124	0.333933740866025
CATD0403a	0.32989355515741	0.337647131521489	0.332459313321101
CATD0085a	0.334211304305929	0.330103066059066	0.335685629635005
CATD190a	0.334032832800284	0.330241413782509	0.335725753417207
CATD0109a	0.333080979570443	0.33266887422695	0.334250146202606
CATD0415a	0.332483461385606	0.332840230764223	0.334676307850171
CATD191a	0.333248540036938	0.332865297745986	0.333886162217076
CATD0093a	0.334804504163893	0.330671011697197	0.33452448413891
CATD0407a	0.333543098528389	0.329278586324513	0.337178315147098
CATD0413a	0.334852247423533	0.332275011854184	0.332872740722282
CATD0104a	0.334521097379269	0.333395914017249	0.332082988603482
CATD0409a	0.331671546800259	0.340883129690052	0.327445323509689
CATD0116a	0.333060367664759	0.33377033590807	0.33316929642717
CATD0406a	0.33295342096613	0.3342826166907	0.33276396234317
CATD0089a	0.333289846950475	0.334755393073788	0.331954759975737
CATD0115a	0.333431081625209	0.333598194263124	0.332970724111667
CATD0098a	0.333734151554887	0.333542860507551	0.332722987937562
CATD0402a	0.335126644944761	0.333848109452683	0.331025245602556
CATD0404a	0.336044960779338	0.332192489789654	0.331762549431008
CATD0408a	0.335576327256976	0.33119205541365	0.333231617329375
