sample	object	object_index
CATD0674b	/lustre/scratch125/casm/team113da/users/bf14/samples/3142/CATD0674b/CATD0674b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3142/CATD0674b/CATD0674b.sample.dupmarked.bam.bai
CATD0675b	/lustre/scratch125/casm/team113da/users/bf14/samples/3142/CATD0675b/CATD0675b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3142/CATD0675b/CATD0675b.sample.dupmarked.bam.bai
CATD0676b	/lustre/scratch125/casm/team113da/users/bf14/samples/3142/CATD0676b/CATD0676b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3142/CATD0676b/CATD0676b.sample.dupmarked.bam.bai
CATD0677b	/lustre/scratch125/casm/team113da/users/bf14/samples/3142/CATD0677b/CATD0677b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3142/CATD0677b/CATD0677b.sample.dupmarked.bam.bai
CATD296b	/lustre/scratch125/casm/team113da/users/bf14/samples/3142/CATD296b/CATD296b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3142/CATD296b/CATD296b.sample.dupmarked.bam.bai
CATD297b	/lustre/scratch125/casm/team113da/users/bf14/samples/3142/CATD297b/CATD297b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3142/CATD297b/CATD297b.sample.dupmarked.bam.bai
CATD299b	/lustre/scratch125/casm/team113da/users/bf14/samples/3142/CATD299b/CATD299b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3142/CATD299b/CATD299b.sample.dupmarked.bam.bai
CATD300b	/lustre/scratch125/casm/team113da/users/bf14/samples/3142/CATD300b/CATD300b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3142/CATD300b/CATD300b.sample.dupmarked.bam.bai
CATD301b	/lustre/scratch125/casm/team113da/users/bf14/samples/3142/CATD301b/CATD301b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3142/CATD301b/CATD301b.sample.dupmarked.bam.bai
CATD303b	/lustre/scratch125/casm/team113da/users/bf14/samples/3142/CATD303b/CATD303b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3142/CATD303b/CATD303b.sample.dupmarked.bam.bai
