	Signature A	Signature B	Signature C
CATD269a	0.113632549850973	0.86945427597316	0.0169131741758664
CATD256a	0.0475314602172574	0.843270303040519	0.109198236742223
CATD251a	0.0184634423559297	0.805179779261334	0.176356778382737
CATD0132a	0.0158850186840741	0.896534181801554	0.087580799514372
CATD0119a	0.0405271357815378	0.930809965457223	0.0286628987612387
CATD262a	0.0790416121405782	0.840327740111951	0.0806306477474711
CATD248a	0.00775493533735321	0.868844920506667	0.12340014415598
CATD0122a	0.0713835841617474	0.903252540378611	0.0253638754596421
CATD252a	0.0505118254837294	0.919200133050219	0.0302880414660516
CATD268a	0.00922412364028391	0.983489502146525	0.0072863742131909
CATD187a	0.0654528264086771	0.882994513787861	0.0515526598034622
CATD245a	0.0268785313530862	0.835126136009809	0.137995332637104
CATD0123a	0.0192383631108918	0.959633670665392	0.0211279662237165
CATD255a	0.0710315069854554	0.892094460896676	0.0368740321178681
CATD244a	0.0533917643858439	0.877132830644176	0.0694754049699797
CATD0120a	0.00997214377310043	0.876803066905461	0.113224789321439
CATD247a	0.00862193362287785	0.813161400588873	0.178216665788249
CATD260a	0.0305356034943337	0.706090259879599	0.263374136626068
CATD246a	0.0400676581305804	0.840806427009975	0.119125914859445
CATD279a	0.791946375312129	0.0858771119155512	0.12217651277232
CATD261a	0.0826051576837837	0.737673151304065	0.179721691012152
CATD280a	0.0345364172048342	0.842628014788416	0.12283556800675
CATD272a	0.0209925938683425	0.776075281790983	0.202932124340674
CATD275a	0.304676286523779	0.343436372170361	0.35188734130586
CATD276a	0.111576063324972	0.875089517084099	0.0133344195909295
CATD0128a	0.0256502704097972	0.808460637496354	0.165889092093849
CATD273a	0.0252187580741842	0.818524426123048	0.156256815802768
CATD253a	0.0675644524918416	0.801289433951742	0.131146113556416
CATD267a	0.302489330420923	0.306480178519645	0.391030491059433
CATD186a	0.935217551675482	0.0413059329203102	0.0234765154042074
CATD0632c	0.0640095492622114	0.914847113489365	0.0211433372484239
CATD0126a	0.137164859327037	0.753799290560706	0.109035850112257
CATD274a	0.0180844747631874	0.867630369624748	0.114285155612064
CATD278a	0.0192045543126063	0.946691485196289	0.0341039604911044
CATD243a	0.0167149213047014	0.964335344580392	0.0189497341149064
CATD265a	0.0190292503979723	0.915626925186621	0.0653438244154062
CATD264a	0.00832637440873796	0.824342171497776	0.167331454093486
CATD0135a	0.0227425871830663	0.95340182163083	0.0238555911861033
CATD282a	0.0737223648138301	0.84037880026761	0.0858988349185599
CATD250a	0.00921036958577744	0.852313000415837	0.138476629998386
CATD263a	0.0774235101762716	0.790685992759918	0.131890497063811
CATD254a	0.143964181326428	0.802156431540019	0.0538793871335531
CATD0124a	0.514685986236824	0.219934742959401	0.265379270803775
CATD0129a	0.523181394768567	0.208197646185759	0.268620959045674
CATD0130a	0.525886961324979	0.234698579320779	0.239414459354242
CATD0140a	0.404666136204367	0.190467110729303	0.40486675306633
CATD0131a	0.267255436312827	0.431076268865489	0.301668294821683
CATD0125a	0.226685325081609	0.401738651460953	0.371576023457437
CATD0134a	0.379821793053161	0.382625184066778	0.23755302288006
CATD258a	0.606894906285291	0.204486794082917	0.188618299631792
CATD257a	0.437656461755086	0.201083503986141	0.361260034258773
CATD0139a	0.53716270387953	0.138106931061512	0.324730365058958
CATD0137a	0.418805209735425	0.111077719970945	0.47011707029363
CATD249a	0.128830513010522	0.705484430603747	0.165685056385731
CATD271a	0.617063516775866	0.167589540831841	0.215346942392293
CATD259a	0.15990101621183	0.175067842303373	0.665031141484797
CATD0127a	0.523881472655728	0.24199907271456	0.234119454629712
CATD277a	0.354743097823051	0.327616977089129	0.31763992508782
CATD281a	0.558113702223354	0.204319966973589	0.237566330803057
CATD0133a	0.257215950139676	0.440038292220605	0.302745757639719
