	Signature A	Signature B
CATD0621a	0.624909549633039	0.375090450366961
CATD0463a	0.0332343876800395	0.96676561231996
CATD0453a	0.655190252403554	0.344809747596446
CATD0450a	0.531980147244384	0.468019852755616
CATD0465a	0.0326299421779837	0.967370057822016
CATD0458a	0.74946952959218	0.25053047040782
CATD0466a	0.545488327240037	0.454511672759963
CATD0454a	0.236690659911556	0.763309340088444
CATD0446a	0.617341019253294	0.382658980746706
CATD0451a	0.511383283770115	0.488616716229885
CATD0455a	0.417751621989124	0.582248378010876
CATD0457a	0.41698365691389	0.58301634308611
CATD0452a	0.626126921635489	0.373873078364511
CATD0447a	0.384189291069036	0.615810708930964
CATD0449a	0.290564901391684	0.709435098608316
CATD0617a	0.54309801318433	0.45690198681567
CATD0623a	0.535987783924941	0.464012216075059
CATD0456a	0.3116748215205	0.6883251784795
CATD0618a	0.86058285494747	0.13941714505253
CATD0624a	0.751814659614272	0.248185340385728
CATD0460a	0.759008355538116	0.240991644461884
CATD0448a	0.607066474632117	0.392933525367883
CATD0620a	0.544789585628371	0.455210414371629
CATD0461a	0.554193173074152	0.445806826925848
CATD0625a	0.550391491874753	0.449608508125247
CATD0619a	0.715744179626312	0.284255820373688
CATD0613a	0.37220009149164	0.62779990850836
CATD0464a	0.506550316817667	0.493449683182333
