	Signature A	Signature B
CATD0414a	0.50067176844919	0.49932823155081
CATD0105a	0.500428292467524	0.499571707532476
CATD189a	0.500871688969295	0.499128311030705
CATD0090a	0.496979435937752	0.503020564062248
CATD0088a	0.500191522042188	0.499808477957812
CATD0102a	0.503725351310809	0.496274648689191
CATD0400a	0.503698369613581	0.496301630386419
CATD0095a	0.503147605833665	0.496852394166335
CATD0087a	0.492297745338206	0.507702254661794
CATD0410a	0.502614909661479	0.497385090338521
CATD0101a	0.500434144152479	0.499565855847521
CATD0100a	0.506411647614972	0.493588352385028
CATD0118a	0.536637709234027	0.463362290765973
CATD0108a	0.499893739467859	0.50010626053214
CATD0082a	0.502985475972084	0.497014524027916
CATD0106a	0.507941580957603	0.492058419042397
CATD0107a	0.506805002386067	0.493194997613933
CATD0097a	0.486318056746547	0.513681943253453
CATD0112a	0.497091983803608	0.502908016196392
CATD0412a	0.495241283937197	0.504758716062803
CATD0110a	0.49541296452753	0.50458703547247
CATD0117a	0.497075822511626	0.502924177488374
CATD0084a	0.493818478495702	0.506181521504298
CATD0081a	0.491952110333524	0.508047889666476
CATD0092a	0.500292509050472	0.499707490949528
CATD0111a	0.51156046919168	0.48843953080832
CATD0114a	0.50359679591655	0.49640320408345
CATD0103a	0.468828313999911	0.531171686000089
CATD0099a	0.510402765487433	0.489597234512567
CATD0091a	0.499213665873378	0.500786334126622
CATD0086a	0.503856387735059	0.496143612264941
CATD0405a	0.500142110557358	0.499857889442642
CATD188a	0.487020728730832	0.512979271269168
CATD0401a	0.503746932607722	0.496253067392278
CATD0096a	0.496880312386296	0.503119687613704
CATD0411a	0.516462587492942	0.483537412507058
CATD0113a	0.494383179613639	0.505616820386361
CATD0403a	0.50442055942077	0.49557944057923
CATD0085a	0.498568195694404	0.501431804305596
CATD190a	0.486861986520598	0.513138013479402
CATD0109a	0.499117583648499	0.500882416351501
CATD0415a	0.496114160666891	0.503885839333109
CATD191a	0.498032937541657	0.501967062458343
CATD0093a	0.49200623071023	0.50799376928977
CATD0407a	0.491807645954382	0.508192354045618
CATD0413a	0.501765340928028	0.498234659071972
CATD0104a	0.497348708081575	0.502651291918425
CATD0409a	0.515500807926485	0.484499192073515
CATD0116a	0.499855903636057	0.500144096363943
CATD0406a	0.500592025423301	0.499407974576699
CATD0089a	0.505994302878336	0.494005697121664
CATD0115a	0.501042204651724	0.498957795348276
CATD0098a	0.492513828845022	0.507486171154978
CATD0402a	0.498305156117933	0.501694843882067
CATD0404a	0.498334332487633	0.501665667512367
CATD0408a	0.491012129175407	0.508987870824593
