	Signature A	Signature B
CATD292a	0.989170492785749	0.0108295072142506
CATD0653a	0.0118843088593834	0.988115691140617
CATD294a	0.0140910126666752	0.985908987333325
CATD283a	0.882230878443573	0.117769121556427
CATD0645a	0.20716309226795	0.79283690773205
CATD0670a	0.422933667620695	0.577066332379305
CATD0650a	0.687767137302901	0.312232862697099
CATD289a	0.655320487523662	0.344679512476338
CATD0144a	0.736398754136419	0.263601245863581
CATD293a	0.430428548240645	0.569571451759355
CATD0668a	0.29237298638114	0.70762701361886
CATD0146a	0.680259636934355	0.319740363065645
CATD0641a	0.490089389765993	0.509910610234007
CATD0143a	0.507016365947328	0.492983634052672
CATD0632a	0.494270714868859	0.505729285131141
CATD0633a	0.452836238210421	0.547163761789579
CATD0157a	0.489070536896417	0.510929463103583
CATD0147a	0.559622625609532	0.440377374390468
CATD0145a	0.73252036682227	0.26747963317773
CATD0159a	0.838077505059752	0.161922494940248
CATD0148a	0.485630956453719	0.514369043546281
CATD0153a	0.56334155967839	0.43665844032161
CATD0635a	0.63685366544854	0.36314633455146
CATD0646a	0.529534177324282	0.470465822675718
CATD295a	0.651897417884781	0.348102582115219
CATD290a	0.351671483838255	0.648328516161745
CATD0142a	0.4274001496659	0.5725998503341
CATD291a	0.581835874004982	0.418164125995018
CATD284a	0.605847169620443	0.394152830379557
CATD0150a	0.602020351568841	0.397979648431159
CATD0156a	0.515990657820248	0.484009342179752
CATD0154a	0.584535648289176	0.415464351710824
CATD0651a	0.39741287272429	0.60258712727571
CATD0152a	0.460544597944749	0.539455402055251
CATD0644a	0.581083784994635	0.418916215005365
