	Signature A	Signature B
CATD0393a	0.336567991178825	0.663432008821175
CATD0657a	0.490395576048646	0.509604423951354
CATD0388a	0.508770716469185	0.491229283530815
CATD0395a	0.46632417913939	0.53367582086061
CATD0434a	0.504178352522615	0.495821647477385
CATD0666a	0.497253743642348	0.502746256357652
CATD0391a	0.5026419155804	0.4973580844196
CATD0387a	0.487859861985814	0.512140138014186
CATD0381a	0.521183789660204	0.478816210339796
CATD0390a	0.506496380386857	0.493503619613143
CATD0423a	0.508489132357428	0.491510867642572
CATD0398a	0.492163069241112	0.507836930758888
CATD0428a	0.501501187301417	0.498498812698583
CATD0378a	0.506842164245492	0.493157835754508
CATD0380a	0.503010688484784	0.496989311515216
CATD0662a	0.503805172249563	0.496194827750437
CATD0399a	0.504000328890124	0.495999671109876
CATD0659a	0.506755184813784	0.493244815186216
CATD0389a	0.506124090967051	0.493875909032949
CATD0658a	0.491414255876729	0.508585744123271
CATD0665a	0.497589948885642	0.502410051114358
CATD0377a	0.501794069470443	0.498205930529557
CATD0422a	0.50624990881473	0.49375009118527
CATD0392a	0.492975723573693	0.507024276426307
CATD0661a	0.50855803230315	0.49144196769685
CATD0424a	0.499792755023401	0.500207244976599
CATD0426a	0.501338468160494	0.498661531839506
CATD0383a	0.502247850665004	0.497752149334996
CATD0385a	0.49650853459724	0.50349146540276
CATD0382a	0.505194823695027	0.494805176304973
CATD0660a	0.495076237860246	0.504923762139754
CATD0437a	0.493668258493715	0.506331741506285
CATD0439a	0.50438660349652	0.49561339650348
CATD0663a	0.504722639356008	0.495277360643992
CATD0379a	0.498194303920155	0.501805696079845
CATD0397a	0.501241268348104	0.498758731651896
