sample	object	object_index
CATD0161b	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0161b/CATD0161b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0161b/CATD0161b.sample.dupmarked.bam.bai
CATD0163b	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0163b/CATD0163b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0163b/CATD0163b.sample.dupmarked.bam.bai
CATD0164b	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0164b/CATD0164b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0164b/CATD0164b.sample.dupmarked.bam.bai
CATD0165b	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0165b/CATD0165b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0165b/CATD0165b.sample.dupmarked.bam.bai
CATD0166b	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0166b/CATD0166b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0166b/CATD0166b.sample.dupmarked.bam.bai
CATD0167b	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0167b/CATD0167b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0167b/CATD0167b.sample.dupmarked.bam.bai
CATD0169b	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0169b/CATD0169b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0169b/CATD0169b.sample.dupmarked.bam.bai
CATD0170b	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0170b/CATD0170b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0170b/CATD0170b.sample.dupmarked.bam.bai
CATD0173b	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0173b/CATD0173b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0173b/CATD0173b.sample.dupmarked.bam.bai
CATD0174b	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0174b/CATD0174b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0174b/CATD0174b.sample.dupmarked.bam.bai
CATD0175b	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0175b/CATD0175b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0175b/CATD0175b.sample.dupmarked.bam.bai
CATD0177b	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0177b/CATD0177b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0177b/CATD0177b.sample.dupmarked.bam.bai
CATD0179b	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0179b/CATD0179b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0179b/CATD0179b.sample.dupmarked.bam.bai
CATD0180b	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0180b/CATD0180b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0180b/CATD0180b.sample.dupmarked.bam.bai
CATD0181b	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0181b/CATD0181b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0181b/CATD0181b.sample.dupmarked.bam.bai
CATD0182b	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0182b/CATD0182b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0182b/CATD0182b.sample.dupmarked.bam.bai
CATD0183b	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0183b/CATD0183b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0183b/CATD0183b.sample.dupmarked.bam.bai
CATD0184b	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0184b/CATD0184b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0184b/CATD0184b.sample.dupmarked.bam.bai
CATD0347b	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0347b/CATD0347b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0347b/CATD0347b.sample.dupmarked.bam.bai
CATD0350b	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0350b/CATD0350b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0350b/CATD0350b.sample.dupmarked.bam.bai
CATD0351b	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0351b/CATD0351b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0351b/CATD0351b.sample.dupmarked.bam.bai
CATD0352b	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0352b/CATD0352b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0352b/CATD0352b.sample.dupmarked.bam.bai
CATD0353b	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0353b/CATD0353b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2821/CATD0353b/CATD0353b.sample.dupmarked.bam.bai
