	Signature A	Signature B	Signature C
CATD0621a	0.320294900756233	0.313542443690236	0.366162655553531
CATD0463a	0.275081777113014	0.650128181665768	0.0747900412212175
CATD0453a	0.327866270264806	0.321615987707933	0.350517742027261
CATD0450a	0.331623789641659	0.32765813212273	0.340718078235611
CATD0465a	0.279638710145153	0.646005776834071	0.0743555130207765
CATD0458a	0.316096806097365	0.301743663215631	0.382159530687004
CATD0466a	0.330141651930998	0.328363149518301	0.341495198550701
CATD0454a	0.346584516857696	0.366633383815534	0.286782099326769
CATD0446a	0.331004410641608	0.318020659659906	0.350974929698487
CATD0451a	0.341740654732478	0.338371971934957	0.319887373332565
CATD0455a	0.339016854437686	0.347788172398714	0.3131949731636
CATD0457a	0.336071039438763	0.348546191023083	0.315382769538154
CATD0452a	0.332417949237684	0.323231576575023	0.344350474187293
CATD0447a	0.33803149510049	0.340260551334058	0.321707953565452
CATD0449a	0.343463914066945	0.363956544763159	0.292579541169897
CATD0617a	0.332679199152714	0.333449479898371	0.333871320948915
CATD0623a	0.335175272271528	0.33324484286708	0.331579884861392
CATD0456a	0.34777584211535	0.361826942745506	0.290397215139144
CATD0618a	0.296200358460702	0.268492231945878	0.435307409593419
CATD0624a	0.318223445320663	0.303993148964094	0.377783405715243
CATD0460a	0.319299500289297	0.30478770761574	0.375912792094963
CATD0448a	0.334632404979584	0.323611593789987	0.341756001230429
CATD0620a	0.329876769124108	0.32786927830583	0.342253952570062
CATD0461a	0.332186091516372	0.326041675021054	0.341772233462574
CATD0625a	0.338265335599512	0.336987927339805	0.324746737060683
CATD0619a	0.322877863552638	0.309586839976256	0.367535296471105
CATD0613a	0.341689554077528	0.349997015530699	0.308313430391773
CATD0464a	0.332064801448401	0.332166884121136	0.335768314430463
