Cohort,Tumour,Gene,Freq_cbio,Freq_fur,p_val,p_adj,significant
china_pan_cancer,cholangiocarcinoma,ABL1,0.008,0.037037037037037035,0.12487775866790485,1.0,False
china_pan_cancer,cholangiocarcinoma,ABL2,0.013999999999999999,0.0,0.5392241047946549,1.0,False
china_pan_cancer,cholangiocarcinoma,ACVR1B,0.016,0.0,0.511179716822354,1.0,False
china_pan_cancer,cholangiocarcinoma,ACVR2A,0.03,0.037037037037037035,0.8233548450492534,1.0,False
china_pan_cancer,cholangiocarcinoma,ADGRA2,0.016,0.0,0.511179716822354,1.0,False
china_pan_cancer,cholangiocarcinoma,AKT1,0.004,0.0,0.7439350977613832,1.0,False
china_pan_cancer,cholangiocarcinoma,AKT2,0.004,0.0,0.7439350977613832,1.0,False
china_pan_cancer,cholangiocarcinoma,AKT3,0.002,0.0,0.8175030090181781,1.0,False
china_pan_cancer,cholangiocarcinoma,ALK,0.018000000000000002,0.0,0.4854787990476559,1.0,False
china_pan_cancer,cholangiocarcinoma,AMER1,0.022000000000000002,0.0,0.4397560774650211,1.0,False
china_pan_cancer,cholangiocarcinoma,APC,0.031,0.037037037037037035,0.8729195443884017,1.0,False
china_pan_cancer,cholangiocarcinoma,AR,0.018000000000000002,0.037037037037037035,0.470098030258856,1.0,False
china_pan_cancer,cholangiocarcinoma,ARAF,0.012,0.0,0.5701003524080372,1.0,False
china_pan_cancer,cholangiocarcinoma,ARFRP1,0.0,0.0,1.0,1.0,False
china_pan_cancer,cholangiocarcinoma,ARID1A,0.185,0.07407407407407407,0.1431305376788976,1.0,False
china_pan_cancer,cholangiocarcinoma,ARID1B,0.037000000000000005,0.0,0.3061928727231975,1.0,False
china_pan_cancer,cholangiocarcinoma,ARID2,0.053,0.0,0.21893912584803554,1.0,False
china_pan_cancer,cholangiocarcinoma,ASXL1,0.024,0.0,0.4192455132248192,1.0,False
china_pan_cancer,cholangiocarcinoma,ATF1,0.004,0.0,0.7439350977613832,1.0,False
china_pan_cancer,cholangiocarcinoma,ATM,0.055,0.0,0.21015228311358913,1.0,False
china_pan_cancer,cholangiocarcinoma,ATR,0.024,0.0,0.4192455132248192,1.0,False
china_pan_cancer,cholangiocarcinoma,ATRX,0.02,0.037037037037037035,0.5358342190644492,1.0,False
china_pan_cancer,cholangiocarcinoma,AURKA,0.002,0.037037037037037035,0.003619199928677208,0.29665764576673503,False
china_pan_cancer,cholangiocarcinoma,AURKB,0.0,0.037037037037037035,1.4140750157487503e-05,0.002395443076678383,True
china_pan_cancer,cholangiocarcinoma,AXIN1,0.02,0.0,0.4617622040656473,1.0,False
china_pan_cancer,cholangiocarcinoma,AXIN2,0.012,0.0,0.5701003524080372,1.0,False
china_pan_cancer,cholangiocarcinoma,AXL,0.01,0.0,0.6045046826054268,1.0,False
china_pan_cancer,cholangiocarcinoma,BAP1,0.102,0.0,0.08017605367918668,1.0,False
china_pan_cancer,cholangiocarcinoma,BARD1,0.004,0.037037037037037035,0.024805911744478104,0.8909800675137082,False
china_pan_cancer,cholangiocarcinoma,BCL2,0.002,0.0,0.8175030090181781,1.0,False
china_pan_cancer,cholangiocarcinoma,BCL2L1,0.002,0.0,0.8175030090181781,1.0,False
china_pan_cancer,cholangiocarcinoma,BCL2L11,0.004,0.0,0.7439350977613832,1.0,False
china_pan_cancer,cholangiocarcinoma,BCL2L2,0.0,0.0,1.0,1.0,False
china_pan_cancer,cholangiocarcinoma,BCL6,0.002,0.0,0.8175030090181781,1.0,False
china_pan_cancer,cholangiocarcinoma,BCOR,0.013999999999999999,0.07407407407407407,0.017603371306661453,0.7803729537112675,False
china_pan_cancer,cholangiocarcinoma,BCORL1,0.018000000000000002,0.0,0.4854787990476559,1.0,False
china_pan_cancer,cholangiocarcinoma,BCR,0.006,0.0,0.6888363545563498,1.0,False
china_pan_cancer,cholangiocarcinoma,BLM,0.008,0.0,0.643495278027973,1.0,False
china_pan_cancer,cholangiocarcinoma,BMPR1A,0.004,0.0,0.7439350977613832,1.0,False
china_pan_cancer,cholangiocarcinoma,BRAF,0.040999999999999995,0.0,0.2811043809985061,1.0,False
china_pan_cancer,cholangiocarcinoma,BRCA1,0.008,0.0,0.643495278027973,1.0,False
china_pan_cancer,cholangiocarcinoma,BRCA2,0.040999999999999995,0.0,0.2811043809985061,1.0,False
china_pan_cancer,cholangiocarcinoma,BRD4,0.004,0.0,0.7439350977613832,1.0,False
china_pan_cancer,cholangiocarcinoma,BRIP1,0.006,0.0,0.6888363545563498,1.0,False
china_pan_cancer,cholangiocarcinoma,BTG1,0.002,0.0,0.8175030090181781,1.0,False
china_pan_cancer,cholangiocarcinoma,BTK,0.006,0.0,0.6888363545563498,1.0,False
china_pan_cancer,cholangiocarcinoma,CAMTA1,0.022000000000000002,0.0,0.4397560774650211,1.0,False
china_pan_cancer,cholangiocarcinoma,CARD11,0.013999999999999999,0.0,0.5392241047946549,1.0,False
china_pan_cancer,cholangiocarcinoma,CBFB,0.004,0.0,0.7439350977613832,1.0,False
china_pan_cancer,cholangiocarcinoma,CBL,0.006,0.0,0.6888363545563498,1.0,False
china_pan_cancer,cholangiocarcinoma,CCN6,0.008,0.0,0.643495278027973,1.0,False
china_pan_cancer,cholangiocarcinoma,CCND1,0.004,0.0,0.7439350977613832,1.0,False
china_pan_cancer,cholangiocarcinoma,CCND3,0.008,0.0,0.643495278027973,1.0,False
china_pan_cancer,cholangiocarcinoma,CCNE1,0.004,0.0,0.7439350977613832,1.0,False
china_pan_cancer,cholangiocarcinoma,CD274,0.0,0.0,1.0,1.0,False
china_pan_cancer,cholangiocarcinoma,CD79A,0.004,0.0,0.7439350977613832,1.0,False
china_pan_cancer,cholangiocarcinoma,CD79B,0.002,0.0,0.8175030090181781,1.0,False
china_pan_cancer,cholangiocarcinoma,CDC73,0.0,0.0,1.0,1.0,False
china_pan_cancer,cholangiocarcinoma,CDH1,0.012,0.0,0.5701003524080372,1.0,False
china_pan_cancer,cholangiocarcinoma,CDK12,0.016,0.0,0.511179716822354,1.0,False
china_pan_cancer,cholangiocarcinoma,CDK6,0.004,0.0,0.7439350977613832,1.0,False
china_pan_cancer,cholangiocarcinoma,CDK8,0.006,0.0,0.6888363545563498,1.0,False
china_pan_cancer,cholangiocarcinoma,CDKN1A,0.002,0.0,0.8175030090181781,1.0,False
china_pan_cancer,cholangiocarcinoma,CDKN1B,0.006,0.0,0.6888363545563498,1.0,False
china_pan_cancer,cholangiocarcinoma,CDKN2A,0.069,0.0,0.15829354779717253,1.0,False
china_pan_cancer,cholangiocarcinoma,CDKN2C,0.006,0.0,0.6888363545563498,1.0,False
china_pan_cancer,cholangiocarcinoma,CEBPA,0.002,0.0,0.8175030090181781,1.0,False
china_pan_cancer,cholangiocarcinoma,CHD2,0.012,0.0,0.5701003524080372,1.0,False
china_pan_cancer,cholangiocarcinoma,CHD4,0.02,0.037037037037037035,0.5358342190644492,1.0,False
china_pan_cancer,cholangiocarcinoma,CHEK1,0.004,0.0,0.7439350977613832,1.0,False
china_pan_cancer,cholangiocarcinoma,CHEK2,0.0,0.0,1.0,1.0,False
china_pan_cancer,cholangiocarcinoma,CIC,0.022000000000000002,0.0,0.4397560774650211,1.0,False
china_pan_cancer,cholangiocarcinoma,COL1A1,0.022000000000000002,0.0,0.4397560774650211,1.0,False
china_pan_cancer,cholangiocarcinoma,CRBN,0.0,0.0,1.0,1.0,False
china_pan_cancer,cholangiocarcinoma,CREB3L1,0.004,0.0,0.7439350977613832,1.0,False
china_pan_cancer,cholangiocarcinoma,CREB3L2,0.0,0.0,1.0,1.0,False
china_pan_cancer,cholangiocarcinoma,CREBBP,0.018000000000000002,0.0,0.4854787990476559,1.0,False
china_pan_cancer,cholangiocarcinoma,CRKL,0.0,0.037037037037037035,1.4140750157487503e-05,0.002395443076678383,True
china_pan_cancer,cholangiocarcinoma,CRLF2,0.0,0.0,1.0,1.0,False
china_pan_cancer,cholangiocarcinoma,CSF1,0.0,0.0,1.0,1.0,False
china_pan_cancer,cholangiocarcinoma,CSF1R,0.002,0.0,0.8175030090181781,1.0,False
china_pan_cancer,cholangiocarcinoma,CTCF,0.013999999999999999,0.0,0.5392241047946549,1.0,False
china_pan_cancer,cholangiocarcinoma,CTNNA1,0.008,0.0,0.643495278027973,1.0,False
china_pan_cancer,cholangiocarcinoma,CTNNB1,0.006,0.18518518518518517,7.460698725481052e-14,3.79152709228947e-11,True
china_pan_cancer,cholangiocarcinoma,CUL3,0.004,0.0,0.7439350977613832,1.0,False
china_pan_cancer,cholangiocarcinoma,CXCR4,0.002,0.0,0.8175030090181781,1.0,False
china_pan_cancer,cholangiocarcinoma,CYLD,0.01,0.037037037037037035,0.19101554447546287,1.0,False
china_pan_cancer,cholangiocarcinoma,CYP17A1,0.006,0.037037037037037035,0.06727345497931836,1.0,False
china_pan_cancer,cholangiocarcinoma,DAXX,0.002,0.0,0.8175030090181781,1.0,False
china_pan_cancer,cholangiocarcinoma,DDR1,0.013999999999999999,0.0,0.5392241047946549,1.0,False
china_pan_cancer,cholangiocarcinoma,DDR2,0.013999999999999999,0.0,0.5392241047946549,1.0,False
china_pan_cancer,cholangiocarcinoma,DICER1,0.016,0.037037037037037035,0.4019354879622492,1.0,False
china_pan_cancer,cholangiocarcinoma,DNMT3A,0.018000000000000002,0.0,0.4854787990476559,1.0,False
china_pan_cancer,cholangiocarcinoma,DOT1L,0.018000000000000002,0.0,0.4854787990476559,1.0,False
china_pan_cancer,cholangiocarcinoma,EGFR,0.016,0.0,0.511179716822354,1.0,False
china_pan_cancer,cholangiocarcinoma,EMSY,0.004,0.0,0.7439350977613832,1.0,False
china_pan_cancer,cholangiocarcinoma,EP300,0.027999999999999997,0.037037037037037035,0.7712735157626733,1.0,False
china_pan_cancer,cholangiocarcinoma,EPCAM,0.004,0.0,0.7439350977613832,1.0,False
china_pan_cancer,cholangiocarcinoma,EPHA3,0.02,0.037037037037037035,0.5358342190644492,1.0,False
china_pan_cancer,cholangiocarcinoma,EPHA5,0.018000000000000002,0.037037037037037035,0.470098030258856,1.0,False
china_pan_cancer,cholangiocarcinoma,EPHA7,0.012,0.0,0.5701003524080372,1.0,False
china_pan_cancer,cholangiocarcinoma,EPHB1,0.013999999999999999,0.0,0.5392241047946549,1.0,False
china_pan_cancer,cholangiocarcinoma,ERBB2,0.024,0.0,0.4192455132248192,1.0,False
china_pan_cancer,cholangiocarcinoma,ERBB3,0.026000000000000002,0.0,0.400057879594365,1.0,False
china_pan_cancer,cholangiocarcinoma,ERBB4,0.024,0.0,0.4192455132248192,1.0,False
china_pan_cancer,cholangiocarcinoma,ERG,0.008,0.0,0.643495278027973,1.0,False
