	Signature A	Signature B
CATD309a	0.951181243222366	0.0488187567776341
CATD319a	0.224594080827521	0.775405919172479
CATD310a	0.258931486220091	0.741068513779909
CATD297a	0.679024966534821	0.320975033465179
CATD312a	0.328885770242848	0.671114229757152
CATD323a	0.181128941585033	0.818871058414967
CATD314a	0.617957944505659	0.382042055494341
CATD329a	0.0486801258438308	0.951319874156169
CATD311a	0.303257156165318	0.696742843834682
CATD306a	0.255233396713748	0.744766603286252
CATD320a	0.437759115812106	0.562240884187894
CATD300a	0.126597833317817	0.873402166682183
CATD328a	0.389646656567796	0.610353343432204
CATD0674a	0.672265123547199	0.327734876452801
CATD318a	0.375821408362073	0.624178591637927
CATD301a	0.506742557978743	0.493257442021257
CATD308a	0.570712395875749	0.429287604124251
CATD296a	0.402862990131848	0.597137009868153
CATD0675a	0.419465558711775	0.580534441288225
CATD0676a	0.288470187378688	0.711529812621312
CATD326a	0.160615701947582	0.839384298052418
CATD0677a	0.425855660198066	0.574144339801934
CATD304a	0.61951431134533	0.38048568865467
CATD299a	0.336388704118754	0.663611295881246
CATD317a	0.442256756937922	0.557743243062078
CATD307a	0.406439997533738	0.593560002466262
CATD303a	0.700472653975693	0.299527346024307
