	Signature A	Signature B	Signature C	Signature D
CATD269a	0.10922478083031	0.849087680952971	0.0204304968893663	0.0212570413273525
CATD256a	0.0240669539197292	0.786467780272831	0.0761408316977759	0.113324434109664
CATD251a	0.0166988714943299	0.777113642585644	0.129364211732746	0.0768232741872807
CATD0132a	0.0165386702110328	0.875612848095369	0.0655138980000076	0.0423345836935911
CATD0119a	0.0229714429401464	0.877586310240103	0.042572317254793	0.0568699295649577
CATD262a	0.027150911179449	0.74882339491638	0.0789088809808693	0.145116812923301
CATD248a	0.00864108090461258	0.84899753805738	0.090732660812292	0.051628720225715
CATD0122a	0.0601660823272223	0.873559556365352	0.0330455006355604	0.0332288606718651
CATD252a	0.0422627126826478	0.887966722733584	0.0325339821327422	0.0372365824510262
CATD268a	0.0113846916727083	0.96846010084496	0.0101926112061299	0.00996259627620169
CATD187a	0.0659762413931944	0.857564620533108	0.040048986222905	0.0364101518507928
CATD245a	0.0269567348003827	0.81344665007922	0.0957215376229287	0.063875077497469
CATD0123a	0.0150310488425806	0.912778205085492	0.0325322412908662	0.0396585047810613
CATD255a	0.0735189712893106	0.865239370477622	0.0332443748750067	0.027997283358061
CATD244a	0.0450763714742117	0.838188500604327	0.0594180230325597	0.0573171048889012
CATD0120a	0.00963587137470115	0.844833296097854	0.0950922909652428	0.050438541562202
CATD247a	0.00803545091512393	0.788494339272192	0.125171739884681	0.0782984699280029
CATD260a	0.0348795462362154	0.691111030303457	0.203837307043685	0.0701721164166435
CATD246a	0.0271422010428659	0.802209872788778	0.0794797139521594	0.0911682122161964
CATD279a	0.687360849318109	0.0777311381860625	0.116837118253987	0.118070894241841
CATD261a	0.0464020056862433	0.647589245797284	0.131192312365533	0.17481643615094
CATD280a	0.0305455754891948	0.791197865779425	0.0905874813840245	0.0876690773473554
CATD272a	0.0141726455017128	0.745152355824644	0.168599264843637	0.0720757338300058
CATD275a	0.235061178019517	0.255031751701901	0.255531208131902	0.254375862146681
CATD276a	0.0856723029045351	0.83227831854111	0.0340682932867923	0.0479810852675627
CATD0128a	0.014093929094573	0.763142111181248	0.105250069943038	0.117513889781141
CATD273a	0.0222376807503376	0.789078464560459	0.116884363197247	0.0717994914919564
CATD253a	0.0462725832093142	0.765157035694417	0.117963045163969	0.0706073359322998
CATD267a	0.220969048231625	0.233133369861115	0.269944271800253	0.275953310107008
CATD186a	0.925683394623107	0.0357897588876898	0.0198029566271643	0.0187238898620387
CATD0632c	0.0578746833560752	0.881367260911665	0.0295557533280045	0.0312023024042555
CATD0126a	0.0971162925139861	0.696876498793756	0.0999106414189931	0.106096567273265
CATD274a	0.0200959502258671	0.846385377412578	0.0779753984131438	0.0555432739484109
CATD278a	0.0161479334408352	0.904969318053456	0.038923470601118	0.0399592779045904
CATD243a	0.0179305592635295	0.927457756340856	0.0274045837360271	0.0272071006595877
CATD265a	0.0201745384634165	0.887823140467323	0.0506477911313318	0.0413545299379286
CATD264a	0.00896487374079875	0.808987483479372	0.128090152840441	0.0539574899393876
CATD0135a	0.0227826860671681	0.927655592934627	0.0246528208083067	0.0249089001898979
CATD282a	0.0592115360654862	0.78904600617126	0.0785744874664108	0.0731679702968431
CATD250a	0.0112744000280103	0.845466954302934	0.0980125667392568	0.0452460789297994
CATD263a	0.0447752588953766	0.744076997900794	0.102183119797533	0.108964623406297
CATD254a	0.0867725377254992	0.719122459310672	0.0890603702564305	0.105044632707399
CATD0124a	0.37237977414554	0.178070985353521	0.223033385629611	0.226515854871328
CATD0129a	0.360173761933311	0.170385201272619	0.229320184341132	0.240120852452938
CATD0130a	0.411642330521026	0.191629826930109	0.197679895101947	0.199047947446917
CATD0140a	0.285195495577903	0.153359268085832	0.287905777259591	0.273539459076675
CATD0131a	0.154891796909818	0.325970214800461	0.246315455100309	0.272822533189411
CATD0125a	0.172924995316016	0.283792561822644	0.272420150703513	0.270862292157828
CATD0134a	0.295310649707802	0.297813143306206	0.202044728556832	0.204831478429159
CATD258a	0.383629746411441	0.167412677435513	0.215878691229066	0.23307888492398
CATD257a	0.22658483366144	0.152010901790735	0.299959753377331	0.321444511170494
CATD0139a	0.317813764095546	0.117439200941647	0.266286271188007	0.298460763774799
CATD0137a	0.268842170797917	0.0965782647208332	0.31556731492539	0.31901224955586
CATD249a	0.113905162179552	0.587130463259233	0.149283360170966	0.149681014390249
CATD271a	0.361644179970807	0.145720847379436	0.2384311888039	0.254203783845857
CATD259a	0.145297692699794	0.159721836246546	0.358433066808577	0.336547404245083
CATD0127a	0.373595265974456	0.192808711321492	0.214164918334578	0.219431104369475
CATD277a	0.273171277457961	0.261434818830655	0.23352620332507	0.231867700386314
CATD281a	0.393429798296879	0.169466760425725	0.215381459987258	0.221721981290139
CATD0133a	0.203363778117354	0.336576291344734	0.230980631152192	0.22907929938572
