	Signature A	Signature B	Signature C	Signature D
CATD0735a	0.972415221089736	0.00923561276470607	0.00923452950225916	0.00911463664329907
CATD0575a	0.189350736863727	0.270556592060521	0.267891729184169	0.272200941891584
CATD0584a	0.0975817220023783	0.291767250910247	0.304733620897832	0.305917406189543
CATD0600a	0.288431283078422	0.236494691990779	0.237582245695743	0.237491779235056
CATD0576a	0.151924832131986	0.282307007852602	0.284413948853831	0.28135421116158
CATD0679a	0.19264744089169	0.269021307822686	0.270371537100464	0.26795971418516
CATD0591a	0.368023332402481	0.212170346069791	0.209277955585591	0.210528365942137
CATD0686a	0.296619730225237	0.236185668283947	0.234299314015734	0.232895287475082
CATD0734a	0.116382532172804	0.297776235866991	0.294762470923493	0.291078761036713
CATD0678a	0.134155735567837	0.289295111685141	0.284376090571036	0.292173062175985
CATD0729a	0.131365017885937	0.274977167324909	0.305639441744921	0.288018373044233
CATD0609a	0.119051005911183	0.289111990134412	0.296183584946169	0.295653419008236
CATD0601a	0.124431692325282	0.295140277326908	0.289852919981898	0.290575110365912
CATD0731a	0.0868698638643182	0.297602121837035	0.307478674372287	0.308049339926359
CATD0723a	0.400891777087082	0.193399450043672	0.205507290819747	0.200201482049499
CATD0730a	0.319843806346081	0.227089603172881	0.225234745921636	0.227831844559401
CATD0586a	0.254746000129369	0.248149866153382	0.253491605614645	0.243612528102604
CATD0733a	0.615105958519789	0.128350174585347	0.127741174757127	0.128802692137737
CATD0687a	0.203406510812987	0.266168704617402	0.265471489202724	0.264953295366888
CATD0578a	0.286379781614362	0.237177456743127	0.237571903854895	0.238870857787616
CATD0587a	0.251153008755656	0.250615448073791	0.249938797944473	0.24829274522608
CATD0589a	0.158936430156913	0.277499890605155	0.284797708892944	0.278765970344988
CATD0590a	0.113749656118113	0.29148226875723	0.30347733956919	0.291290735555467
CATD0727a	0.183475576747037	0.276328385297677	0.270293875912921	0.269902162042366
CATD0583a	0.164462376903059	0.278172900053331	0.279081634483988	0.278283088559622
CATD0732a	0.136473223623635	0.289460796993025	0.284985407651556	0.289080571731784
CATD0725a	0.474968268274721	0.176221223061871	0.173947672514473	0.174862836148935
CATD0577a	0.110584749050162	0.299512151495717	0.289596711147322	0.300306388306799
CATD0606a	0.157371333809708	0.283079220207813	0.281375684453261	0.278173761529218
CATD0588a	0.148985185762472	0.283053284113493	0.280931247698762	0.287030282425273
CATD0572a	0.141599291877582	0.284811536795746	0.285553231117599	0.288035940209073
CATD0573a	0.164471134435241	0.272441282012426	0.27917613243416	0.283911451118172
CATD0592a	0.141998334934294	0.290453754368598	0.281497232318269	0.286050678378838
CATD0603a	0.338950977448798	0.223246418050036	0.219755716351022	0.218046888150143
CATD0722a	0.273488402179896	0.241523985597876	0.242237253750792	0.242750358471436
CATD0582a	0.245167725839101	0.250551873830158	0.252607948632995	0.251672451697745
CATD0585a	0.161762670720429	0.279265801069299	0.2778788163456	0.281092711864671
CATD0593a	0.229604465468762	0.256217939423406	0.25713752062126	0.257040074486572
CATD0581a	0.166060017835754	0.278634262671613	0.277556138254463	0.27774958123817
CATD0736a	0.284565341601041	0.235173946991468	0.241817115494061	0.23844359591343
CATD0596a	0.218179087937809	0.261986895866388	0.259197692856342	0.260636323339461
CATD0719a	0.20596623411213	0.263634569394026	0.264932617511518	0.265466578982326
CATD0721a	0.236097725841826	0.254278327689946	0.254023428048975	0.255600518419252
CATD0604a	0.235386387017555	0.254428098777096	0.255444485194099	0.25474102901125
CATD0720a	0.152864333393641	0.280796457762805	0.28057331781091	0.285765891032644
CATD0682a	0.260182996708946	0.246702100433386	0.246274709259437	0.246840193598231
