	Signature A	Signature B	Signature C	Signature D
CATD0161a	0.249268271216188	0.251364031426062	0.248529585125415	0.250838112232335
CATD0371a	0.247588252279333	0.248995272126542	0.251729206561632	0.251687269032493
CATD0354a	0.24954890456839	0.249849242411183	0.251894540209192	0.248707312811235
CATD0372a	0.249491281117769	0.248271255939269	0.250513860902244	0.251723602040718
CATD0352a	0.250107969114194	0.249890801159944	0.2507291502888	0.249272079437062
CATD0366a	0.249777626728105	0.249085897059347	0.249217657960499	0.25191881825205
CATD0180a	0.249080280141015	0.251311593545182	0.250974546604409	0.248633579709394
CATD0375a	0.251885894197956	0.249374933117295	0.249266536874266	0.249472635810483
CATD0351a	0.249229347662508	0.250232248337103	0.24908392015576	0.251454483844629
CATD0182a	0.248768428145252	0.250948298171126	0.250973251555048	0.249310022128574
CATD0184a	0.249868099652691	0.249861686029736	0.249474672664009	0.250795541653564
CATD0179a	0.248765565528892	0.251096667605048	0.250454769667712	0.249682997198348
CATD0370a	0.251419623863509	0.24935718509893	0.249846095557065	0.249377095480497
CATD0167a	0.249584130130569	0.251070404972069	0.250664588810669	0.248680876086693
CATD0174a	0.249044403772377	0.250586078469203	0.249476720610115	0.250892797148305
CATD0175a	0.250625396555514	0.249636804654405	0.24948325490692	0.250254543883161
CATD0181a	0.249727546182543	0.249057603060478	0.251354706992938	0.249860143764041
CATD0355a	0.2489060012368	0.248581761205503	0.251917194890591	0.250595042667106
CATD0362a	0.250540467839123	0.250746718767059	0.24948679221318	0.249226021180638
CATD0363a	0.249289350219693	0.249693443036554	0.25133172640552	0.249685480338233
CATD0365a	0.249487753381504	0.250807096677559	0.250481333598034	0.249223816342902
CATD0177a	0.250204396944178	0.250297797441574	0.250201834121039	0.24929597149321
CATD0376a	0.24997535887299	0.25028629149324	0.249773772046384	0.249964577587386
CATD0367a	0.250542745266719	0.250243307707459	0.248681513199385	0.250532433826437
CATD0364a	0.249640739939252	0.25136758565481	0.248759072459259	0.25023260194668
CATD0671a	0.248856204041891	0.249099548238277	0.250024079344934	0.252020168374898
CATD0163a	0.24840295247787	0.249703134443257	0.250934595904659	0.250959317174214
CATD0368a	0.251153096687136	0.249527397398325	0.25084503540958	0.248474470504958
