	Signature A	Signature B	Signature C
CATD0735a	0.00887120015748882	0.00887955897045442	0.982249240872057
CATD0575a	0.381626070381823	0.379921643696699	0.238452285921478
CATD0584a	0.491488557350536	0.402339316310127	0.106172126339337
CATD0600a	0.304471341091638	0.333971632837158	0.361557026071203
CATD0576a	0.403619942528833	0.420113431604189	0.176266625866978
CATD0679a	0.377027257343241	0.391670560042737	0.231302182614023
CATD0591a	0.255957578449059	0.264076194459098	0.479966227091843
CATD0686a	0.313125839953289	0.305753795696582	0.381120364350129
CATD0734a	0.38388843993849	0.483175383450282	0.132936176611228
CATD0678a	0.420158524982722	0.426409403093337	0.153432071923941
CATD0729a	0.486996185124194	0.349615510699133	0.163388304176673
CATD0609a	0.44536504581429	0.424161287316268	0.130473666869441
CATD0601a	0.397121699004972	0.463297974174291	0.139580326820738
CATD0731a	0.504202523703925	0.403110150358144	0.0926873259379313
CATD0723a	0.291053524054785	0.243704640527318	0.465241835417897
CATD0730a	0.27828879254086	0.270798351712175	0.450912855746965
CATD0586a	0.320289206808583	0.360166877823534	0.319543915367883
CATD0733a	0.137395245900299	0.137295661843228	0.725309092256473
CATD0687a	0.376235488743268	0.359011217070659	0.264753294186073
CATD0578a	0.305868892758812	0.306276721781684	0.387854385459504
CATD0587a	0.327733571622309	0.322939563854204	0.349326864523487
CATD0589a	0.404901759502223	0.403807199409153	0.191291041088624
CATD0590a	0.464923097239864	0.3987886610503	0.136288241709836
CATD0727a	0.37014471566074	0.397045334224021	0.232809950115239
CATD0583a	0.391407680375186	0.409315945647873	0.199276373976941
CATD0732a	0.404987809881349	0.432121353156336	0.162890836962316
CATD0725a	0.191531386277639	0.188407470133157	0.620061143589205
CATD0577a	0.38090392888227	0.503419282239584	0.115676788878146
CATD0606a	0.396189365594074	0.405032362172084	0.198778272233842
CATD0588a	0.412524741181041	0.409894202727078	0.177581056091881
CATD0572a	0.418785639782521	0.411182074683974	0.170032285533505
CATD0573a	0.42920260483484	0.381468548743546	0.189328846421613
CATD0592a	0.423408032921136	0.408149628125453	0.168442338953412
CATD0603a	0.257572483858021	0.259094724753822	0.483332791388157
CATD0722a	0.312208522629304	0.312633386965872	0.375158090404825
CATD0582a	0.339991158927129	0.337804381433108	0.322204459639763
CATD0585a	0.394785469568973	0.414841302278057	0.190373228152969
CATD0593a	0.350802353009756	0.347592094496852	0.301605552493392
CATD0581a	0.389200182088889	0.41266710794882	0.198132709962291
CATD0736a	0.316436350857324	0.304228847389111	0.379334801753565
CATD0596a	0.353142369930988	0.365071292659959	0.281786337409053
CATD0719a	0.368535868927196	0.361720436516174	0.269743694556631
CATD0721a	0.346223255958162	0.342532897472034	0.311243846569804
CATD0604a	0.347541332398864	0.340929691161528	0.311528976439608
CATD0720a	0.401807672367169	0.417181560172946	0.181010767459885
CATD0682a	0.320157592384782	0.31956563687753	0.360276770737687
