sample	object	object_index
CATD0561d	/lustre/scratch125/casm/team113da/users/bf14/samples/2964/CATD0561d/CATD0561d.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2964/CATD0561d/CATD0561d.sample.dupmarked.bam.bai
CATD0709b	/lustre/scratch125/casm/team113da/users/bf14/samples/2964/CATD0709b/CATD0709b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2964/CATD0709b/CATD0709b.sample.dupmarked.bam.bai
CATD0710b	/lustre/scratch125/casm/team113da/users/bf14/samples/2964/CATD0710b/CATD0710b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2964/CATD0710b/CATD0710b.sample.dupmarked.bam.bai
CATD0711b	/lustre/scratch125/casm/team113da/users/bf14/samples/2964/CATD0711b/CATD0711b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2964/CATD0711b/CATD0711b.sample.dupmarked.bam.bai
CATD0712b	/lustre/scratch125/casm/team113da/users/bf14/samples/2964/CATD0712b/CATD0712b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2964/CATD0712b/CATD0712b.sample.dupmarked.bam.bai
CATD0713b	/lustre/scratch125/casm/team113da/users/bf14/samples/2964/CATD0713b/CATD0713b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2964/CATD0713b/CATD0713b.sample.dupmarked.bam.bai
CATD0715b	/lustre/scratch125/casm/team113da/users/bf14/samples/2964/CATD0715b/CATD0715b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2964/CATD0715b/CATD0715b.sample.dupmarked.bam.bai
CATD0716b	/lustre/scratch125/casm/team113da/users/bf14/samples/2964/CATD0716b/CATD0716b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2964/CATD0716b/CATD0716b.sample.dupmarked.bam.bai
CATD0717b	/lustre/scratch125/casm/team113da/users/bf14/samples/2964/CATD0717b/CATD0717b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2964/CATD0717b/CATD0717b.sample.dupmarked.bam.bai
CATD0718b	/lustre/scratch125/casm/team113da/users/bf14/samples/2964/CATD0718b/CATD0718b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2964/CATD0718b/CATD0718b.sample.dupmarked.bam.bai
