	Signature A	Signature B
CATD0161a	0.500847504847365	0.499152495152635
CATD0371a	0.500913104763158	0.499086895236842
CATD0354a	0.500503623768944	0.499496376231056
CATD0372a	0.497902364370804	0.502097635629196
CATD0352a	0.501618810785995	0.498381189214005
CATD0366a	0.501644694461271	0.498355305538729
CATD0180a	0.499044102594444	0.500955897405556
CATD0375a	0.501249316006024	0.498750683993976
CATD0351a	0.500149610506002	0.499850389493998
CATD0182a	0.49675634047484	0.50324365952516
CATD0184a	0.501690853135285	0.498309146864715
CATD0179a	0.499379520863705	0.500620479136295
CATD0370a	0.49835382719159	0.50164617280841
CATD0167a	0.501602268897523	0.498397731102477
CATD0174a	0.497525209019228	0.502474790980772
CATD0175a	0.501007598574309	0.498992401425691
CATD0181a	0.499702495917229	0.500297504082771
CATD0355a	0.499595202928025	0.500404797071975
CATD0362a	0.502245544785959	0.497754455214041
CATD0363a	0.498232552727064	0.501767447272936
CATD0365a	0.499737659080859	0.500262340919141
CATD0177a	0.500482458281378	0.499517541718622
CATD0376a	0.502026245834121	0.497973754165879
CATD0367a	0.498034774223772	0.501965225776228
CATD0364a	0.500301188709139	0.499698811290861
CATD0671a	0.499092570350866	0.500907429649134
CATD0163a	0.498302898520683	0.501697101479317
CATD0368a	0.500722983188542	0.499277016811458
