sample	object	object_index
CATD0540b	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0540b/CATD0540b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0540b/CATD0540b.sample.dupmarked.bam.bai
CATD0541b	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0541b/CATD0541b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0541b/CATD0541b.sample.dupmarked.bam.bai
CATD0542b	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0542b/CATD0542b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0542b/CATD0542b.sample.dupmarked.bam.bai
CATD0545b	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0545b/CATD0545b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0545b/CATD0545b.sample.dupmarked.bam.bai
CATD0546b	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0546b/CATD0546b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0546b/CATD0546b.sample.dupmarked.bam.bai
CATD0547b	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0547b/CATD0547b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0547b/CATD0547b.sample.dupmarked.bam.bai
CATD0548b	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0548b/CATD0548b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0548b/CATD0548b.sample.dupmarked.bam.bai
CATD0550b	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0550b/CATD0550b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0550b/CATD0550b.sample.dupmarked.bam.bai
CATD0551b	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0551b/CATD0551b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0551b/CATD0551b.sample.dupmarked.bam.bai
CATD0554b	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0554b/CATD0554b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0554b/CATD0554b.sample.dupmarked.bam.bai
CATD0555b	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0555b/CATD0555b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0555b/CATD0555b.sample.dupmarked.bam.bai
CATD0556b	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0556b/CATD0556b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0556b/CATD0556b.sample.dupmarked.bam.bai
CATD0557b	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0557b/CATD0557b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0557b/CATD0557b.sample.dupmarked.bam.bai
CATD0558b	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0558b/CATD0558b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD0558b/CATD0558b.sample.dupmarked.bam.bai
CATD331b	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD331b/CATD331b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/2987/CATD331b/CATD331b.sample.dupmarked.bam.bai
