sample	object	object_index
CATD0467b	/lustre/scratch125/casm/team113da/users/bf14/samples/3065/CATD0467b/CATD0467b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3065/CATD0467b/CATD0467b.sample.dupmarked.bam.bai
CATD0468b	/lustre/scratch125/casm/team113da/users/bf14/samples/3065/CATD0468b/CATD0468b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3065/CATD0468b/CATD0468b.sample.dupmarked.bam.bai
CATD0469b	/lustre/scratch125/casm/team113da/users/bf14/samples/3065/CATD0469b/CATD0469b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3065/CATD0469b/CATD0469b.sample.dupmarked.bam.bai
CATD0471b	/lustre/scratch125/casm/team113da/users/bf14/samples/3065/CATD0471b/CATD0471b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3065/CATD0471b/CATD0471b.sample.dupmarked.bam.bai
CATD0475b	/lustre/scratch125/casm/team113da/users/bf14/samples/3065/CATD0475b/CATD0475b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3065/CATD0475b/CATD0475b.sample.dupmarked.bam.bai
CATD0478b	/lustre/scratch125/casm/team113da/users/bf14/samples/3065/CATD0478b/CATD0478b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3065/CATD0478b/CATD0478b.sample.dupmarked.bam.bai
CATD0479b	/lustre/scratch125/casm/team113da/users/bf14/samples/3065/CATD0479b/CATD0479b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3065/CATD0479b/CATD0479b.sample.dupmarked.bam.bai
CATD0480b	/lustre/scratch125/casm/team113da/users/bf14/samples/3065/CATD0480b/CATD0480b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3065/CATD0480b/CATD0480b.sample.dupmarked.bam.bai
CATD0482b	/lustre/scratch125/casm/team113da/users/bf14/samples/3065/CATD0482b/CATD0482b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3065/CATD0482b/CATD0482b.sample.dupmarked.bam.bai
CATD0485b	/lustre/scratch125/casm/team113da/users/bf14/samples/3065/CATD0485b/CATD0485b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3065/CATD0485b/CATD0485b.sample.dupmarked.bam.bai
CATD0486b	/lustre/scratch125/casm/team113da/users/bf14/samples/3065/CATD0486b/CATD0486b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3065/CATD0486b/CATD0486b.sample.dupmarked.bam.bai
CATD0487b	/lustre/scratch125/casm/team113da/users/bf14/samples/3065/CATD0487b/CATD0487b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3065/CATD0487b/CATD0487b.sample.dupmarked.bam.bai
CATD0488b	/lustre/scratch125/casm/team113da/users/bf14/samples/3065/CATD0488b/CATD0488b.sample.dupmarked.bam	/lustre/scratch125/casm/team113da/users/bf14/samples/3065/CATD0488b/CATD0488b.sample.dupmarked.bam.bai
