Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
RB1		2	2	94	2.1%	Yes
SMARCB1		2	2	94	2.1%	Yes
KEAP1		2	1	94	1.1%	Yes
IKZF1		2	2	94	2.1%	Yes
CRKL		1	1	94	1.1%	Yes
PREX2		1	1	94	1.1%	Yes
PPP2R1A		2	2	94	2.1%	Yes
CHEK2		2	2	94	2.1%	Yes
MYB		1	1	94	1.1%	Yes
CREB3L2		1	1	94	1.1%	Yes
KDR		1	1	94	1.1%	Yes
SOX9		1	1	94	1.1%	Yes
EPHB1		1	1	94	1.1%	Yes
PDK1		1	1	94	1.1%	Yes
EPHA5		1	1	94	1.1%	Yes
EPHA7		1	1	94	1.1%	Yes
DICER1		3	3	94	3.2%	Yes
SOX10		1	1	94	1.1%	Yes
BCR		1	1	94	1.1%	Yes
AR		1	1	94	1.1%	Yes
INPP4B		2	2	94	2.1%	Yes
EWSR1		1	1	94	1.1%	Yes
BCORL1		3	2	94	2.1%	Yes
TP53		35	30	94	31.9%	Yes
EPHA3		3	3	94	3.2%	Yes
EPHA2		1	1	94	1.1%	No
PRKDC		6	5	94	5.3%	Yes
GATA6		2	2	94	2.1%	Yes
PIK3R2		3	2	94	2.1%	Yes
ZBTB2		1	1	94	1.1%	No
CD79B		1	1	94	1.1%	Yes
GRIN2A		2	2	94	2.1%	Yes
BRIP1		1	1	94	1.1%	Yes
TERT		12	12	94	12.8%	Yes
ZNF703		2	2	94	2.1%	Yes
RBM10		1	1	94	1.1%	Yes
BARD1		1	1	94	1.1%	Yes
LYN		1	1	94	1.1%	Yes
CREBBP		3	3	94	3.2%	Yes
SRMS		1	1	94	1.1%	No
SMARCA4		5	4	94	4.3%	Yes
CYLD		7	6	94	6.4%	Yes
FAM135B		2	2	94	2.1%	No
FUBP1		1	1	94	1.1%	Yes
FAT1		8	7	94	7.4%	Yes
ATM		3	3	94	3.2%	Yes
FAT3		4	3	94	3.2%	No
CDK12		1	1	94	1.1%	Yes
FAT4		4	3	94	3.2%	Yes
BAP1		5	5	94	5.3%	Yes
ATR		4	4	94	4.3%	Yes
EZH2		2	2	94	2.1%	Yes
RET		1	1	94	1.1%	Yes
CDKN1A		1	1	94	1.1%	Yes
SETD2		1	1	94	1.1%	Yes
BRCA1		1	1	94	1.1%	Yes
CTCF		1	1	94	1.1%	Yes
BRCA2		4	4	94	4.3%	Yes
GLI1		1	1	94	1.1%	Yes
GLI3		2	1	94	1.1%	No
GLI2		3	3	94	3.2%	No
MED12		2	2	94	2.1%	Yes
RPTOR		1	1	94	1.1%	Yes
SUFU		1	1	94	1.1%	Yes
RAC1		2	2	94	2.1%	Yes
JAK2		5	2	94	2.1%	Yes
CIC		4	4	94	4.3%	Yes
HRAS		2	2	94	2.1%	Yes
IKBKE		1	1	94	1.1%	Yes
NCOA2		2	2	94	2.1%	Yes
PBRM1		2	2	94	2.1%	Yes
PARP4		2	2	94	2.1%	No
PARP1		2	1	94	1.1%	Yes
SYK		1	1	94	1.1%	Yes
PARP2		1	1	94	1.1%	Yes
TFE3		1	1	94	1.1%	Yes
TET2		4	3	94	3.2%	Yes
TET1		1	1	94	1.1%	Yes
TYK2		1	1	94	1.1%	Yes
RHOA		1	1	94	1.1%	Yes
RAD51B		1	1	94	1.1%	Yes
HCK		1	1	94	1.1%	No
NCOR1		5	3	94	3.2%	Yes
DPYD		1	1	94	1.1%	Yes
KIT		1	1	94	1.1%	Yes
TET3		1	1	94	1.1%	Yes
DDR2		1	1	94	1.1%	Yes
DOT1L		4	4	94	4.3%	Yes
EGFR		2	2	94	2.1%	Yes
RELA		5	4	94	4.3%	No
RELB		2	2	94	2.1%	No
ADAM29		1	1	94	1.1%	No
RXRA		2	2	94	2.1%	Yes
NSD1		5	5	94	5.3%	Yes
