	Signature A	Signature B	Signature C	Signature D
CATD292a	0.80790910671861	0.0415935679981774	0.0103348052178188	0.140162520065394
CATD0653a	0.0121070131798779	0.0123173860447421	0.96341692691375	0.0121586738616299
CATD294a	0.0150090841524829	0.015239031001022	0.954575758180969	0.0151761266655262
CATD283a	0.329871708133026	0.265594411636664	0.0943561085744431	0.310177771655867
CATD0645a	0.19740450880596	0.21613325302515	0.383053377467555	0.203408860701335
CATD0670a	0.232877596901459	0.249941793460041	0.278875615018542	0.238304994619957
CATD0650a	0.272033192750104	0.280897431384341	0.170435368741775	0.276634007123779
CATD289a	0.267589976730063	0.275993917076855	0.186929098161748	0.269487008031334
CATD0144a	0.272152340288515	0.301358784839308	0.13958260410573	0.286906270766447
CATD293a	0.245121285053906	0.271605295859383	0.231237063829161	0.25203635525755
CATD0668a	0.200022006109743	0.207149776884654	0.389366560433221	0.203461656572382
CATD0146a	0.272009467261921	0.286047246590561	0.168580526425956	0.273362759721562
CATD0641a	0.241238582583825	0.247574686370778	0.270412061754689	0.240774669290709
CATD0143a	0.261623221736273	0.284270980896345	0.189588259340348	0.264517538027035
CATD0632a	0.251493551050692	0.263797035393422	0.22618994053208	0.258519473023807
CATD0633a	0.25858347900677	0.287552800285696	0.188644577659759	0.265219143047775
CATD0157a	0.260265849323534	0.286288432625074	0.190221437432142	0.263224280619249
CATD0147a	0.258532082474847	0.252365812037843	0.232786189156022	0.256315916331288
CATD0145a	0.256979749304883	0.305073390385392	0.16756934121934	0.270377519090385
CATD0159a	0.303969035469624	0.280205111497141	0.118069559775993	0.297756293257242
CATD0148a	0.256384398753233	0.251764596478008	0.235431686420427	0.256419318348331
CATD0153a	0.255474541151676	0.250008038407082	0.2397112199941	0.254806200447142
CATD0635a	0.276102191221987	0.260881206942964	0.188031700673955	0.274984901161093
CATD0646a	0.253829019319077	0.25545796233436	0.235705878258724	0.25500714008784
CATD295a	0.26981282315453	0.279743630849686	0.176409578833793	0.274033967161991
CATD290a	0.21500830134284	0.218109155926932	0.350797202941405	0.216085339788823
CATD0142a	0.220384914262565	0.221253693408653	0.338239351694678	0.220122040634104
CATD291a	0.263363117642928	0.270272475811437	0.201300527094408	0.265063879451228
CATD284a	0.262388757316216	0.29163414838244	0.173816872525223	0.272160221776121
CATD0150a	0.26248947505454	0.278878306297917	0.189769111607282	0.268863107040262
CATD0156a	0.261882643815684	0.281038532212869	0.192698971136209	0.264379852835237
CATD0154a	0.259499635172084	0.260738139731999	0.217964835583638	0.261797389512279
CATD0651a	0.243361306875872	0.250181788975061	0.26009701255912	0.246359891589946
CATD0152a	0.247910038302608	0.251272789025845	0.252099398536913	0.248717774134634
CATD0644a	0.260613292493017	0.261555359523028	0.218570619300229	0.259260728683727
