Gene	MutSig(Q-value)	# Mut	#	Profiled Samples	Freq	Is Cancer Gene (source: OncoKB)
RB1		180	137	5389	2.5%	Yes
MDC1		183	158	5389	2.9%	Yes
ARAF		127	118	5389	2.2%	Yes
PREX2		362	286	4413	6.5%	Yes
SOX17		224	209	5389	3.9%	Yes
PPP4R2		26	24	4413	0.5%	Yes
AKT2		52	50	5389	0.9%	Yes
MYC		53	52	5389	1.0%	Yes
AKT3		87	72	5389	1.3%	Yes
AKT1		117	109	5389	2.0%	Yes
DAXX		90	82	5389	1.5%	Yes
PRKCI		74	71	4413	1.6%	Yes
MEF2B		105	100	5389	1.9%	Yes
DICER1		206	158	5389	2.9%	Yes
KNSTRN		24	24	4413	0.5%	Yes
NUP93		102	94	5218	1.8%	Yes
AR		288	254	5389	4.7%	Yes
MTAP		10	10	1758	0.6%	Yes
PRKAR1A		47	44	5389	0.8%	Yes
PRKD1		173	146	4413	3.3%	Yes
MAPKAP1		60	56	4413	1.3%	Yes
PRDM14		88	80	4413	1.8%	Yes
GATA3		145	133	5389	2.5%	Yes
BCL10		48	46	5218	0.9%	Yes
GATA2		90	85	5389	1.6%	Yes
GATA1		59	58	5389	1.1%	Yes
GRIN2A		376	326	5389	6.0%	Yes
TERT		285	251	5389	4.7%	Yes
NTHL1		38	37	4413	0.8%	Yes
RAD21		76	71	5218	1.4%	Yes
PLCG2		260	221	5218	4.2%	Yes
NKX2-1		101	93	5389	1.7%	Yes
BARD1		128	114	5389	2.1%	Yes
LYN		66	64	4413	1.5%	Yes
CREBBP		456	350	5389	6.5%	Yes
JUN		96	92	5389	1.7%	Yes
PLK2		142	133	5389	2.5%	Yes
BRAF		606	573	5389	10.6%	Yes
H1-2		67	63	5389	1.2%	Yes
CYLD		91	84	4413	1.9%	Yes
AGO2		147	133	4413	3.0%	Yes
FAT1		638	390	5389	7.2%	Yes
REL		78	68	5389	1.3%	Yes
CDK12		206	173	5389	3.2%	Yes
EZH1		75	67	4413	1.5%	Yes
EZH2		95	80	5389	1.5%	Yes
RET		189	172	5389	3.2%	Yes
CDKN1A		25	25	5389	0.5%	Yes
SETD2		353	255	5389	4.7%	Yes
CDKN1B		57	56	5389	1.0%	Yes
CTCF		212	187	5389	3.5%	Yes
GLI1		239	211	5218	4.0%	Yes
PHF6		11	11	1758	0.6%	Yes
BBC3		43	41	5389	0.8%	Yes
MED12		264	215	5389	4.0%	Yes
NUF2		52	49	4413	1.1%	Yes
CTLA4		43	43	5389	0.8%	Yes
ELOC		4	4	5218	<0.1%	Yes
JAK2		117	96	5389	1.8%	Yes
CIC		341	269	5389	5.0%	Yes
JAK3		176	163	5389	3.0%	Yes
IKBKE		91	87	5389	1.6%	Yes
JAK1		228	175	5389	3.2%	Yes
DUSP4		26	25	4413	0.6%	Yes
SERPINB3		12	12	1758	0.7%	Yes
UPF1		142	124	4413	2.8%	Yes
SERPINB4		18	16	1758	0.9%	Yes
IFNGR1		66	55	5389	1.0%	Yes
TET2		248	207	5389	3.8%	Yes
RRAS2		29	26	4413	0.6%	Yes
TET1		306	238	5389	4.4%	Yes
PAX5		116	108	5389	2.0%	Yes
NCOR1		353	262	5389	4.9%	Yes
SDHAF2		22	22	5389	0.4%	Yes
RARA		96	87	5389	1.6%	Yes
POT1		35	32	1758	1.8%	Yes
PPARG		48	45	4413	1.0%	Yes
FH		60	58	5389	1.1%	Yes
GPS2		58	54	5218	1.0%	Yes
CENPA		12	11	5218	0.2%	Yes
EGFR		156	136	5389	2.5%	Yes
RECQL4		221	185	5389	3.4%	Yes
NSD3		158	122	4413	2.8%	Yes
NRAS		211	210	5389	3.9%	Yes
H3C13		5	5	5218	<0.1%	Yes
EPCAM		28	27	5389	0.5%	Yes
H3C11		25	25	5218	0.5%	Yes
NSD1		262	197	5389	3.7%	Yes
NSD2		161	132	4413	3.0%	Yes
H3C12		28	28	5218	0.5%	Yes
SPOP		35	31	5389	0.6%	Yes
PMS2		83	79	5389	1.5%	Yes
H3C10		16	16	5218	0.3%	Yes
RICTOR		172	132	5389	2.4%	Yes
SF3B1		123	101	5389	1.9%	Yes
PMS1		102	91	5389	1.7%	Yes
BRD4		246	215	5389	4.0%	Yes
CDKN2B		45	45	5389	0.8%	Yes
CDKN2C		23	23	5389	0.4%	Yes
CDKN2A		89	85	5389	1.6%	Yes
STAT3		83	79	5218	1.5%	Yes
RYBP		29	27	5389	0.5%	Yes
WT1		98	94	5389	1.7%	Yes
INHA		59	58	5218	1.1%	Yes
CRLF2		30	30	5389	0.6%	Yes
CSF3R		141	134	5218	2.6%	Yes
MRE11		123	109	5389	2.0%	Yes
IRS1		271	240	5389	4.5%	Yes
MSI1		68	66	4413	1.5%	Yes
IRS2		256	215	5389	4.0%	Yes
STK19		29	29	4413	0.7%	Yes
MSI2		27	26	4413	0.6%	Yes
FGF3		88	83	5389	1.5%	Yes
FGF4		52	50	5389	0.9%	Yes
STK11		80	72	5389	1.3%	Yes
CYSLTR2		48	48	4413	1.1%	Yes
SESN3		49	47	4413	1.1%	Yes
CDH1		156	130	5389	2.4%	Yes
SESN1		46	45	4413	1.0%	Yes
SESN2		53	52	4413	1.2%	Yes
PIM1		25	25	5389	0.5%	Yes
NBN		137	125	5389	2.3%	Yes
KMT5A		43	39	4413	0.9%	Yes
ROS1		290	209	5389	3.9%	Yes
MEN1		94	90	5389	1.7%	Yes
MAP2K4		154	138	5389	2.6%	Yes
USP8		54	44	1758	2.5%	Yes
RNF43		715	516	5389	9.6%	Yes
MAP2K1		81	79	5389	1.5%	Yes
MAP2K2		55	50	5389	0.9%	Yes
EIF1AX		19	19	5389	0.4%	Yes
FBXW7		982	840	5389	15.6%	Yes
TAP2		142	104	4413	2.4%	Yes
TAP1		112	83	4413	1.9%	Yes
MITF		106	99	5389	1.8%	Yes
FOXP1		149	134	5389	2.5%	Yes
MSH6		304	249	5389	4.6%	Yes
MSH2		213	160	5389	3.0%	Yes
SMO		185	165	5389	3.1%	Yes
MSH3		355	308	4413	7.0%	Yes
RAB35		33	33	5218	0.6%	Yes
ERF		132	115	4413	2.6%	Yes
SRSF2		28	28	5218	0.5%	Yes
PGR		194	164	5218	3.1%	Yes
ERG		122	114	5389	2.1%	Yes
NOTCH2		214	181	5389	3.4%	Yes
CSF1R		124	116	5389	2.2%	Yes
NOTCH3		542	406	5389	7.5%	Yes
KMT2D		932	576	5389	10.7%	Yes
CD274		30	29	5389	0.5%	Yes
BLM		209	180	5389	3.3%	Yes
DNMT1		235	200	5389	3.7%	Yes
NOTCH1		427	317	5389	5.9%	Yes
CBFB		35	34	5389	0.6%	Yes
KMT2A		430	314	5389	5.8%	Yes
MAX		25	25	5389	0.5%	Yes
NOTCH4		284	247	5389	4.6%	Yes
CUL3		91	74	5389	1.4%	Yes
ANKRD11		430	324	5218	6.2%	Yes
KMT2C		608	425	5389	7.9%	Yes
KMT2B		696	441	4413	10.0%	Yes
VTCN1		27	27	5389	0.5%	Yes
CYP19A1		19	18	1758	1.0%	Yes
FOXO1		108	92	5218	1.8%	Yes
SOCS1		30	30	5389	0.6%	Yes
BCL2L11		27	27	5389	0.5%	Yes
ATXN7		70	61	1758	3.5%	Yes
ABL1		187	165	5389	3.1%	Yes
TNFRSF14		43	41	5389	0.8%	Yes
SMYD3		45	43	4413	1.0%	Yes
NADK		29	28	1758	1.6%	Yes
MCL1		37	36	5389	0.7%	Yes
CD276		56	55	5389	1.0%	Yes
FANCA		179	161	5389	3.0%	Yes
FANCC		60	58	5389	1.1%	Yes
PALB2		144	127	5389	2.4%	Yes
PTPRD		283	217	5389	4.0%	Yes
CDK8		91	81	5389	1.5%	Yes
CDK6		30	29	5389	0.5%	Yes
BCL6		100	92	5389	1.7%	Yes
CDK4		26	26	5389	0.5%	Yes
RHEB		20	20	5218	0.4%	Yes
ALB		36	34	1758	1.9%	Yes
BCL2		26	26	5389	0.5%	Yes
MDM2		35	32	5389	0.6%	Yes
NF1		397	298	5389	5.5%	Yes
MDM4		36	35	5389	0.6%	Yes
NF2		60	58	5389	1.1%	Yes
LZTR1		74	69	1758	3.9%	Yes
MAP3K13		132	116	5389	2.2%	Yes
MAP3K14		1	1	5218	<0.1%	Yes
MYD88		37	37	5389	0.7%	Yes
BCL2L1		21	21	5389	0.4%	Yes
NFE2L2		62	57	5389	1.1%	Yes
ALK		309	260	5389	4.8%	Yes
FLT1		213	162	5389	3.0%	Yes
FLT3		127	110	5389	2.0%	Yes
FLT4		381	321	5389	6.0%	Yes
PTEN		440	322	5389	6.0%	Yes
PIK3CD		185	169	5389	3.1%	Yes
PIK3C2G		263	201	5389	3.7%	Yes
PIK3CB		151	121	5389	2.2%	Yes
PIK3CG		313	248	5389	4.6%	Yes
CDC73		112	103	5389	1.9%	Yes
PPP6C		40	36	5218	0.7%	Yes
DNMT3B		157	143	5389	2.7%	Yes
NKX3-1		37	37	5389	0.7%	Yes
DIS3		116	96	5389	1.8%	Yes
ATRX		310	242	5389	4.5%	Yes
DNMT3A		143	130	5389	2.4%	Yes
FOXL2		57	56	5389	1.0%	Yes
TRAF2		83	79	5218	1.5%	Yes
PTP4A1		19	18	4413	0.4%	Yes
TRAF7		114	107	5389	2.0%	Yes
PIK3CA		1285	1109	5389	20.6%	Yes
PIK3C3		111	102	5389	1.9%	Yes
TOP1		83	75	5389	1.4%	Yes
SOS1		127	109	4413	2.5%	Yes
MET		144	115	5389	2.1%	Yes
BIRC3		60	52	5218	1.0%	Yes
CEBPA		34	34	5218	0.7%	Yes
SMARCD1		67	60	5389	1.1%	Yes
SRC		79	77	5389	1.4%	Yes
MLLT1		33	28	1758	1.6%	Yes
U2AF1		67	64	5389	1.2%	Yes
PPM1D		154	133	5218	2.5%	Yes
MALT1		71	64	5218	1.2%	Yes
CDC42		21	21	4413	0.5%	Yes
DNAJB1		42	39	5218	0.7%	Yes
ZNRF3		141	98	1758	5.6%	Yes
FIP1L1		2	2	5389	<0.1%	Yes
E2F3		59	55	5389	1.0%	Yes
FYN		87	79	5218	1.5%	Yes
EIF4E		25	25	5218	0.5%	Yes
SH2B3		154	143	5218	2.7%	Yes
NTRK1		146	135	5389	2.5%	Yes
SMARCE1		20	18	1758	1.0%	Yes
NTRK2		120	113	5389	2.1%	Yes
NTRK3		197	180	5389	3.3%	Yes
MGA		396	314	5218	6.0%	Yes
PTPN11		87	80	5389	1.5%	Yes
KLF4		57	55	5389	1.0%	Yes
MTOR		342	293	5389	5.4%	Yes
TBX3		202	177	5389	3.3%	Yes
PNRC1		35	33	5389	0.6%	Yes
RAD52		46	44	5389	0.8%	Yes
ASXL1		346	304	5389	5.6%	Yes
RAD50		180	149	5389	2.8%	Yes
KLF5		40	39	1758	2.2%	Yes
RAD51		30	29	5389	0.5%	Yes
APC		6346	4065	5389	75.4%	Yes
ASXL2		194	152	5389	2.8%	Yes
PDCD1		119	115	5389	2.1%	Yes
BCOR		313	267	5389	5.0%	Yes
EIF4A2		41	39	5218	0.7%	Yes
ERRFI1		58	52	5218	1.0%	Yes
SMARCB1		87	82	5389	1.5%	Yes
KEAP1		91	87	5389	1.6%	Yes
IKZF1		171	163	5389	3.0%	Yes
CRKL		32	30	5389	0.6%	Yes
SOX2		71	68	5389	1.3%	Yes
RPS6KA4		183	159	5389	3.0%	Yes
PPP2R1A		138	128	5389	2.4%	Yes
CHEK2		87	80	5389	1.5%	Yes
